surface	members	depth	type	type_ru	question_chain	vigraha_iast	bv_resolution	gloss_ru	smooth_ru	note
rājendra	rājan|indra	2	TP-gen	татпуруша (род.)	что?→кого/чего?	rājñām indraḥ		царь|владыка, Индра	владыка (Индра) среди царей	Голова — indra «владыка»; rājan отвечает на «чей? среди кого?». Метафорический татпуруша: Индра как образец главенства.
narendra	nara|indra	2	TP-gen	татпуруша (род.)	что?→кого/чего?	narāṇām indraḥ		человек|владыка, Индра	владыка людей	Та же модель, что и rājendra; корпусная глосса «Индра» здесь читается как нарицательное «владыка».
narādhipa	nara|adhipa	2	TP-gen	татпуруша (род.)	что?→кого/чего?	narāṇām adhipaḥ		человек|владыка	владыка людей	adhipa — упапада-основа «правящий над», голову даёт она.
deveśa	deva|īśa	2	TP-gen	татпуруша (род.)	что?→кого/чего?	devānām īśaḥ		бог|владыка	владыка богов	Сандхи a+ī→e скрывает границу членов: deva+īśa.
prajāpatiḥ	prajā|pati	2	TP-gen	татпуруша (род.)	что?→кого/чего?	prajānāṃ patiḥ		потомство, творения|владыка, господин	владыка созданий	Корпусная глосса pati «мужа» — частотный вариант, не словарная форма; ратифицировано «владыка, господин».
dvijottama	dvija|uttama	2	TP-gen	татпуруша (род.)	что?→кого/чего?	dvijānām uttamaḥ		дваждырождённый|лучший, высший	лучший из дваждырождённых	Голова — прилагательное в превосходной степени; «из кого?» — партитивный родительный.
naraśreṣṭha	nara|śreṣṭha	2	TP-gen	татпуруша (род.)	что?→кого/чего?	narāṇāṃ śreṣṭhaḥ		человек|лучший	лучший из людей	Обращение (зват.) в эпосе; модель та же, что dvijottama.
bharataśreṣṭha	bharata|śreṣṭha	2	TP-gen	татпуруша (род.)	что?→кого/чего?	bharatānāṃ śreṣṭhaḥ		Бхарата|лучший	лучший из Бхаратов	Первый член — имя рода, а не нарицательное.
kulaputro	kula|putra	2	TP-gen	татпуруша (род.)	что?→чей?	kulasya putraḥ		род, семья|сын	сын (благородного) рода	«Благородного» — привнесённое значением употребления, в составе нет отдельного слова.
kuladuhitā	kula|duhitṛ	2	TP-gen	татпуруша (род.)	что?→чей?	kulasya duhitā		род, семья|дочь	дочь (благородного) рода	Женский коррелят kulaputra.
kuntīputro	kuntī|putra	2	TP-gen	татпуруша (род.)	что?→чей?	kuntyāḥ putraḥ		Кунти|сын	сын Кунти	Патроним-композит; первый член — имя матери.
brahmalokaṁ	brahman|loka	2	TP-gen	татпуруша (род.)	что?→чей?	brahmaṇo lokaḥ		Брахма, брахман|мир	мир Брахмы	brahman здесь м. р. (бог), не ср. р. (абсолют) — различие не восстановимо из состава.
yugānte	yuga|anta	2	TP-gen	татпуруша (род.)	что?→чего?	yugasya antaḥ		юга, мировой век|конец	конец юги	В тексте стоит в местном падеже: «в конце юги»; ладдер разбирает основу, не словоформу.
varṣasahasrāṇi	varṣa|sahasra	2	TP-gen	татпуруша (род.)	что?→чего?	varṣāṇāṃ sahasrāṇi		год|тысяча	тысячи лет	Голова — счётное слово sahasra, а не varṣa.
dharmarājo	dharma|rāja	2	TP-gen / KD	татпуруша (род.) или кармадхарая	что?→чей? / какой?	dharmasya rājā ‖ dharmaḥ eva rājā		дхарма, закон|царь	царь дхармы ‖ царь, который есть сама дхарма	ДВА чтения, оба засвидетельствованы традицией; сознательно не выбираем — эпитет Юдхиштхиры читается и так, и так.
maharṣayaḥ	mahat|ṛṣi	2	KD	кармадхарая	что?→какой?	mahāntaḥ ṛṣayaḥ		великий|риши, провидец	великие риши	Оба члена согласуются в падеже и числе — признак кармадхараи.
mahādevaṁ	mahat|deva	2	KD	кармадхарая	что?→какой?	mahān devaḥ		великий|бог	великий бог	Как имя собственное (Шива) композит лексикализован.
mahāpurāṇa	mahat|purāṇa	2	KD	кармадхарая	что?→какой?	mahat purāṇam		великий|пурана, древнее сказание	великая пурана	purāṇa — субстантивированное прилагательное «древний».
rājarṣir	rājan|ṛṣi	2	KD	кармадхарая	что?→какой?	rājā eva ṛṣiḥ		царь|риши, провидец	царь-риши	Аппозитивная кармадхарая: оба члена — об одном лице.
