surface	surface_slp1	depth	freq	band	members	members_ru	ladder_tails	rungs_json
rājendra	rAjendra	2	863	ядро	rājan|indra	царь|Индра	indra|rājan-indra	"[{""step"": 1, ""member"": ""indra"", ""ru"": ""Индра"", ""ru_variants"": [""Индра"", ""Индры"", ""Индру""], ""tail"": ""indra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-indra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābalaḥ	mahAbalaH	2	719	ядро	mahat|bala	великий|войско	bala|mahat-bala	"[{""step"": 1, ""member"": ""bala"", ""ru"": ""войско"", ""ru_variants"": [""войско"", ""сила"", ""силой""], ""tail"": ""bala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābāho	mahAbAho	2	537	ядро	mahat|bāhu	великий|руки	bāhu|mahat-bāhu	"[{""step"": 1, ""member"": ""bāhu"", ""ru"": ""руки"", ""ru_variants"": [""руки"", ""руками"", ""рук""], ""tail"": ""bāhu"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bāhu"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmātmā	DarmAtmA	2	480	ядро	dharma|ātman	дхарма|себя	ātman|dharma-ātman	"[{""step"": 1, ""member"": ""ātman"", ""ru"": ""себя"", ""ru_variants"": [""себя"", ""Атман"", ""Атмана""], ""tail"": ""ātman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-ātman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahārathaḥ	mahAraTaH	2	455	ядро	mahat|ratha	великий|колесницу	ratha|mahat-ratha	"[{""step"": 1, ""member"": ""ratha"", ""ru"": ""колесницу"", ""ru_variants"": [""колесницу"", ""колесница"", ""колесницы""], ""tail"": ""ratha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ratha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
narādhipa	narADipa	2	406	ядро	nara|adhipa	человек|владыка	adhipa|nara-adhipa	"[{""step"": 1, ""member"": ""adhipa"", ""ru"": ""владыка"", ""ru_variants"": [""владыка"", ""повелитель"", ""владыки""], ""tail"": ""adhipa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""nara"", ""ru"": ""человек"", ""ru_variants"": [""человек"", ""мужи"", ""люди""], ""tail"": ""nara-adhipa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahātejā	mahAtejA	2	356	ядро	mahat|tejas	великий|блеск	tejas|mahat-tejas	"[{""step"": 1, ""member"": ""tejas"", ""ru"": ""блеск"", ""ru_variants"": [""блеск"", ""жар"", ""блеском""], ""tail"": ""tejas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-tejas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
prajāpatiḥ	prajApatiH	2	354	ядро	prajā|pati	потомство|мужа	pati|prajā-pati	"[{""step"": 1, ""member"": ""pati"", ""ru"": ""мужа"", ""ru_variants"": [""мужа"", ""муж"", ""господин""], ""tail"": ""pati"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""prajā"", ""ru"": ""потомство"", ""ru_variants"": [""потомство"", ""существа"", ""потомством""], ""tail"": ""prajā-pati"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahārathāḥ	mahAraTAH	2	339	ядро	mahat|ratha	великий|колесницу	ratha|mahat-ratha	"[{""step"": 1, ""member"": ""ratha"", ""ru"": ""колесницу"", ""ru_variants"": [""колесницу"", ""колесница"", ""колесницы""], ""tail"": ""ratha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ratha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahātmā	mahAtmA	2	330	ядро	mahat|ātman	великий|себя	ātman|mahat-ātman	"[{""step"": 1, ""member"": ""ātman"", ""ru"": ""себя"", ""ru_variants"": [""себя"", ""Атман"", ""Атмана""], ""tail"": ""ātman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ātman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāyaśāḥ	mahAyaSAH	2	320	ядро	mahat|yaśas	великий|слава	yaśas|mahat-yaśas	"[{""step"": 1, ""member"": ""yaśas"", ""ru"": ""слава"", ""ru_variants"": [""слава"", ""славу"", ""славы""], ""tail"": ""yaśas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-yaśas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maharṣayaḥ	maharzayaH	2	294	ядро	mahat|ṛṣi	великий|риши	ṛṣi|mahat-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābāhur	mahAbAhur	2	291	ядро	mahat|bāhu	великий|руки	bāhu|mahat-bāhu	"[{""step"": 1, ""member"": ""bāhu"", ""ru"": ""руки"", ""ru_variants"": [""руки"", ""руками"", ""рук""], ""tail"": ""bāhu"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bāhu"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śrīmārkaṇḍeya	SrImArkaRqeya	2	260	ядро	śrī|mārkaṇḍeya	Шри|Маркандея	mārkaṇḍeya|śrī-mārkaṇḍeya	"[{""step"": 1, ""member"": ""mārkaṇḍeya"", ""ru"": ""Маркандея"", ""ru_variants"": [""Маркандея"", ""Маркандею"", ""Маркандее""], ""tail"": ""mārkaṇḍeya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śrī"", ""ru"": ""Шри"", ""ru_variants"": [""Шри"", ""богатство"", ""счастье""], ""tail"": ""śrī-mārkaṇḍeya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
brahmacārī	brahmacArI	2	248	ядро	brahman|cārin	Брахман|бродящие	cārin|brahman-cārin	"[{""step"": 1, ""member"": ""cārin"", ""ru"": ""бродящие"", ""ru_variants"": [""бродящие"", ""движущиеся внутри носа"", ""обитателем""], ""tail"": ""cārin"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""brahman"", ""ru"": ""Брахман"", ""ru_variants"": [""Брахман"", ""брахман"", ""Брахмана""], ""tail"": ""brahman-cārin"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahātmānaṁ	mahAtmAnaṁ	2	240	ядро	mahat|ātman	великий|себя	ātman|mahat-ātman	"[{""step"": 1, ""member"": ""ātman"", ""ru"": ""себя"", ""ru_variants"": [""себя"", ""Атман"", ""Атмана""], ""tail"": ""ātman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ātman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāpurāṇa	mahApurARa	2	231	ядро	mahat|purāṇa	великий|древний	purāṇa|mahat-purāṇa	"[{""step"": 1, ""member"": ""purāṇa"", ""ru"": ""древний"", ""ru_variants"": [""древний"", ""пураны"", ""пурана""], ""tail"": ""purāṇa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-purāṇa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
