k1	accented	gloss	human_verdict	voter_note
cuwikA	cuwikA	ein Behälter zum Waschen der Füsse	confirmed_ghost	
hUNgarAI	hUNgarAI		confirmed_ghost	Why this has 2 ebend., but others only 1? Should it be fixed at Cologne data level?
isPIva	isPIva		confirmed_ghost	
isaPahARa	isaPahARa	Isfahan	confirmed_ghost	
mugasTAna	mugasTAna		confirmed_ghost	
namiTuna	namiTuna	die Zwillinge im Thierkreise	confirmed_ghost	нет компонентного разбора - неверно, см. {#nar#} + {#mi˚#}
oqISadeSa	oqISadeSa		confirmed_ghost	
pArAsapuli	pArAsapuli	Persepolis	confirmed_ghost	почему v. u. не переведено?
upayicArika	upayicArika	Wächter eines	confirmed_ghost	not Wächter eines, but Wächter eines Vihāra
uterijA	uterijA		confirmed_ghost	
viviwwyE	viviwwyE		confirmed_ghost	_in_ - что за подчеркивание? и почему снова короткие слова без перевода?
BAgApahArajAti	BAgApahArajAti	assimilation of fractional decrease, reduction to uniformity of a decrease by a fraction, or the subtraction of a part	rejected	нет компонентного разбора  - а что же тогда {#BAga — a˚#}  как не разбивка самасы на две части?
ISvare	ISvare		rejected	<ab>desgl.</ab>  - как переводишь на русский язык? и что такое источники PWG: HALL - не понятно переводи цитаты, например #nityasuKAvasTApanam# давай дополнительно на русском языке
KamBAyatabindara	KamBAyatabindara		rejected	<ls>ebend. - нельзя оставлять по-немецки.
babakARa	babakARa		rejected	<ls>ebend. - нельзя оставлять по-немецки.
bfhatsUryasidDAnt	bfhatsUryasidDAnt	der ausführliche	rejected	если это астрономия, то это технический термин
