pair_id	sid	verb_form	verb	prep	case	dependent	direction	source	sentence
XXX-1.2|проверяйте|по|dat	XXX-1.2	проверяйте	проверять	по	dat	словарю	right	auto	Правило «-as средний» надежно; candramas — стандартное мужское исключение; у -is/-us род проверяйте по словарю.
XXXII-1.2|наследует|-|acc	XXXII-1.2	наследует	наследовать		acc	род	right	auto	Определительный композит наследует род последней основы; bahuvrīhi — прилагательное и согласуется с референтом.
XXXII-1.2|согласуется|с|ins	XXXII-1.2	согласуется	согласоваться	с	ins	референтом	right	auto	Определительный композит наследует род последней основы; bahuvrīhi — прилагательное и согласуется с референтом.
XXXIX-1.1|соответствует|-|dat	XXXIX-1.1	соответствует	соответствовать		dat	правилу	left	auto	Противоречит: samuttiṣṭhati — sam стоит в дистактном положении (контактный — ud), хотя по правилу учебника sam «всегда» контактный. upasaṃharati, напротив, правилу соответствует (sam контактный, upa дистактный).
X-1.1|падали|на|acc	X-1.1	падали	падать	на	acc	землю	right	auto	«Кони утомились и падали на землю».
X-2.1|видел|-|acc	X-2.1	видел	видеть		acc	девушек	right	auto	«В саду я видел девушек, сыплющих зерно слетающимся птицам».
X-2.1|сыплющих|-|acc	X-2.1	сыплющих	сыпать		acc	зерно	right	auto	«В саду я видел девушек, сыплющих зерно слетающимся птицам».
XII-2.4|видели|-|acc	XII-2.4	видели	видеть		acc	рыб	right	auto	«В реках мы видели рыб».
XVI-1.2|обуздывает|-|acc	XVI-1.2	обуздывает	обуздывать		acc	гнев	right	auto	«Лишь тот — человек, кто обуздывает гнев, как коня».
XVI-1.3|помышляет|о|loc	XVI-1.3	помышляет	помышлять	о	loc	чем	left	auto	XVI-2 (фрагмент): «о чем помышляет, что делает, к чему привязывает волю…».
XVI-1.3|делает|-|acc	XVI-1.3	делает	делать		acc	что	left	auto	XVI-2 (фрагмент): «о чем помышляет, что делает, к чему привязывает волю…».
XVI-1.3|привязывает|-|acc	XVI-1.3	привязывает	привязывать		acc	волю	right	auto	XVI-2 (фрагмент): «о чем помышляет, что делает, к чему привязывает волю…».
XVIII-1.1|поведешь|-|acc	XVIII-1.1	поведешь	повести		acc	его	left	auto	«Где будет мой супруг и куда ты его поведешь, туда пойду и я».
XVIII-2.1|увидишь|-|acc	XVIII-2.1	увидишь	увидеть		acc	супруга	right	auto	«Скоро ты увидишь супруга, о прекрасная».
XXI-1.1|потеряла|-|acc	XXI-1.1	потеряла	потерять		acc	покой	right	auto	«С той поры она потеряла покой из-за Налы».
XXII-1.2|устроил|-|acc	XXII-1.2	устроил	устроить		acc	свадьбу	right	auto	«Когда цари разъехались, Бхима устроил свадьбу Дамаянти и Налы».
XXII-2.1|сдержать|-|acc	XXII-2.1	сдержать	сдержать		acc	слово	right	auto	«Стремясь сдержать слово, он подавлял (в сердце) любовь».
XXX-1.3|живут|-|ins	XXX-1.3	живут	жить		ins	возлиянием	left	auto	«Жертвенным возлиянием живут боги».
XXX-2.1|сотворить|-|acc	XXX-2.1	сотворить	сотворить		acc	мир	right	auto	«Самосущий вознамерился сотворить мир».
XXXII-1.3|возлежащий|на|loc	XXXII-1.3	возлежащий	возлежать	на	loc	змее	right	auto	«Посреди великого океана Вишну, возлежащий на змее Шеше, сладко спит».
XXXVII-2.1|отпустил|-|acc	XXXVII-2.1	отпустил	отпустить		acc	собаку	right	auto	«Из страха перед пастухом волк отпустил собаку и ушел в лес».
XXXVII-2.1|ушел|в|acc	XXXVII-2.1	ушел	уйти	в	acc	лес	right	auto	«Из страха перед пастухом волк отпустил собаку и ушел в лес».
XXXIX-2.1|жаждут|-|gen	XXXIX-2.1	жаждут	жаждать		gen	встречи	right	auto	«Ученые жаждут встречи с учеными». ---
XXXIX-1.1|стоит|в|loc	XXXIX-1.1	стоит	стоять	в	loc	положении	right	curated	Противоречит: samuttiṣṭhati — sam стоит в дистактном положении (контактный — ud), хотя по правилу учебника sam «всегда» контактный. upasaṃharati, напротив, правилу соответствует (sam контактный, upa дистактный).
X-2.1|сыплющих|-|dat	X-2.1	сыплющих	сыпать		dat	птицам	right	curated	«В саду я видел девушек, сыплющих зерно слетающимся птицам».
XVI-1.3|привязывает|к|dat	XVI-1.3	привязывает	привязывать	к	dat	чему	left	curated	XVI-2 (фрагмент): «о чем помышляет, что делает, к чему привязывает волю…».
XXII-2.1|подавлял|-|acc	XXII-2.1	подавлял	подавлять		acc	любовь	right	curated	«Стремясь сдержать слово, он подавлял (в сердце) любовь».
