key	hits	docs	example
frame|видеть|-|acc|right|modern	110965	19307	Именно таким, наверно, изначально мы и хотели [видеть] [портал]. — Форум: Мужчина в школе (Взгляд на Мужчину в школе снаружи и изнутри) (2011)
frame|наследовать|-|acc|right|modern	689	427	Z-классы можно наследовать от богатого базового набора классов Zope, можно от других Z-классов, и программист может создать компонент, включающий классы, от которых можно [наследовать] Z-[классы]. — Информационные технологии в образовательной среде вуза // «Информационные технологии», 2004
frame|обуздывать|-|acc|right|c19	207	106	Но вѣдь справляется же съ сотнями неотесанныхъ мужиковъ одинъ образованный управляющій и [обуздываетъ] же [тысячи] грубыхъ солдатъ одинъ развитой полковой командиръ… — А. К. Шеллер-Михайлов. Наши ближние (1899)
frame|обуздывать|-|acc|right|modern	91	67	Тут уже партийному руководству и его философской обслуге пришлось напрягаться всерьез: изобретать, с одной стороны, «марксистско-ленинскую этику», а с другой — [обуздывать] крепнущий молодежный [цинизм] с помощью еще одного наспех сляпанного рычага управления — «Морального кодекса строителя коммуниз
frame|падать|на|acc|right|modern	5553	2357	Например, для наблюдателя, свободно [падающего] [на] [черную] [дыру], горизонт событий отсутствует, и такой наблюдатель способен проникнуть внутрь нее, увидеть центральную сингулярность, в которой сжата исходная материя, однако передать наружу какую-либо информацию ему не удастся. — А. М. Черепащук.
frame|помышлять|о|loc|left|modern	69	60	И он, и вся его сатанинская рать только [о] [том] и [помышляют], чтобы сделать какую-нибудь гадость. — Александр Нежный. Психопомп (2022) // «Звезда», 2022-2023
frame|проверять|по|dat|right|c19	29	24	Салтыкова остановилась и пристально поглядела на Кузьму, как бы [проверяя], [по] [выражению] его лица, впечатление своих слов. — Н. Э. Гейнце. Людоедка (1898)
frame|проверять|по|dat|right|modern	303	211	Мне-то как раз понадобился ранг «принципа», потому как иначе я бы и напоминала об уроках и [проверяла] [по] [максимуму], честно говоря, мне бы было и удобней и привычней. — Наши дети: Подростки (2004)
frame|согласоваться|с|ins|right|modern	1120	606	Установлено, что релаксация тока при различных электрических полях и температурах, гистерезис ВАХ и накопление заряда в TlGa 0. 99 Fe 0. 01 Se 2 [согласуются] [с] [эстафетным] [механизмом] переноса заряда, образованного на глубоких энергетических уровнях в запрещенной зоне за счет инжекции носителей
frame|соответствовать|-|dat|left|modern	7509	4239	У нас же, во-первых, сильное лобби со стороны табачных компаний, которое препятствует [принятию] [соответствующих] законопроектов, во-вторых, даже при имеющемся законе о запрете курения в общественных местах и запрета на продажу сигарет несовершеннолетним, никто их не соблюдает – законы нарушаются п
frame|сыпать|-|acc|right|modern	1055	679	Ооооо… Не [сыпь] мне [соль] на рану… Нам эта процедура еще предстоит через недельку. — Наши дети: Подростки (2004)
verb|видеть|modern	239661	28077	Именно таким, наверно, изначально мы и хотели [видеть] портал. — Форум: Мужчина в школе (Взгляд на Мужчину в школе снаружи и изнутри) (2011)
verb|наследовать|modern	1092	718	В данной статье предлагается подход для обеспечения синхронизации компонентов модели и организации псевдопараллельных вычислений на основе объекта «часы», используемого или [наследуемого] другими объектами библиотеки классов, требующих взаимной синхронизации в ходе моделирования. — А. Ю. Савинков. С
verb|обуздывать|c19	214	134	Это человек добрый, честный, благородный, не дающий воли никаким порывам своей натуры, [обуздывающий] ее вполне, живущий исключительно для других, и не столько для других, сколько для идеала; этот идеал улучшение состояния человечества. — Л. В. Яковлева (Шапорина). Дневник (1899)
verb|обуздывать|modern	135	109	Даже азартного щегольства: видя эти нереально замедленные туры Одетты, длящие плавную нить адажио, это полное слияние с музыкальными фразами, эти верткие renverses Одиллии, понимаешь, как, должно быть, велик искус блеснуть мастерством столь баснословным. И как сильна [обуздывающая] его воля. Аньес Л
verb|падать|modern	21231	7343	бодро кричу я, снимая на ходу рейтузы из стопроцентной шерсти, но путаюсь в них и [падаю]. — Форум: Похороните меня за плинтусом. Фильм (2009-2011)
verb|проверять|c19	396	273	Старик Свияжский сидел в своем слишком аккуратненьком кабинете и, [проверяя] какой-то длинный счет, быстро откидывал костяшки на счетах, как вдруг дверь тихо отворилась. — Н. Н. Алексеев. Игра судьбы (1899)
verb|проверять|modern	10338	4868	Никто не [проверяет] тебя, не заставляет учиться, как это было в школе. — Форум: Универ (институт) VS школа. Плюсы и минусы. Где в итоге лучше и почему? (2011)
verb|согласоваться|modern	960	731	Установлено, что релаксация тока при различных электрических полях и температурах, гистерезис ВАХ и накопление заряда в TlGa 0. 99 Fe 0. 01 Se 2 [согласуются] с эстафетным механизмом переноса заряда, образованного на глубоких энергетических уровнях в запрещенной зоне за счет инжекции носителей с кон
verb|соответствовать|modern	37791	14566	У нас же, во-первых, сильное лобби со стороны табачных компаний, которое препятствует принятию [соответствующих] законопроектов, во-вторых, даже при имеющемся законе о запрете курения в общественных местах и запрета на продажу сигарет несовершеннолетним, никто их не соблюдает – законы нарушаются пос
verb|сыпать|modern	1919	1232	Ооооо… Не [сыпь] мне соль на рану… Нам эта процедура еще предстоит через недельку. — Наши дети: Подростки (2004)
