compound_id	compound_lemma	head_case	head_gender	head_number	pass_A_opus	pass_B_sonnet	agree_7way	A_leitan5	B_leitan5	agree_leitan5
cpd:001	tyaj-kaṣāya	Gen	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:002	bhī-śoka	Ins	Masc	Dual	dvandva	dvandva	=	dvandva	dvandva	=
cpd:003	mudga-māṣaparṇī	Acc	Fem	Dual	dvandva	dvandva	=	dvandva	dvandva	=
cpd:004	smṛti-mati-bala-medhā-sattva-sāra	Ins	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:005	yajña-kratu	Abl	Masc	Sing	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:006	kuntī-suta	Ins	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:007	mahat-astra-darśin	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:008	bhūri-bhūriśravas-citra-duḥśāsana-suyodhana	Nom	Masc	Plur	dvandva	dvandva	=	dvandva	dvandva	=
cpd:009	kiṣku-pramāṇa	Ins	Masc	Plur	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:010	tulā-dhara	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:011	gomukha-sambandha	Acc	Fem	Sing	bahuvrihi	tatpurusha	≠	bahuvrihi	tatpurusha	≠
cpd:012	lakṣya-nimitta	Nom	Fem	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:013	doṣa-pravṛtti	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:014	ṣaṣṭika-anna	Ins	Neut	Sing	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:015	buddha-dharma	Nom	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:016	vara-aṅga-rūpin	Gen	Masc	Plur	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:017	brahman-loka	Acc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:018	maṇḍala-tritaya	Dat	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:019	madhura-vaktra-tā	Nom	Fem	Sing	karmadharaya	tatpurusha	≠	tatpurusha	tatpurusha	=
