pass	cpd_token_id	coarse	fine	vigraha	rationale
A	873010	tatpurusa	upapada	śoṇitaṃ vahati iti	Head vāhin is agentive kṛt (√vah+in); śoṇita is its object → upapada.
A	1667053	tatpurusa	karmadharaya	mahatī bhūmiḥ	Adjective mahā qualifies bhūmi, same case → karmadhāraya.
A	557709	bahuvrihi	n/a	ātta-cāpo yena saḥ	ppp(ātta)+noun(cāpa) describing the rākṣasa possessively (whose bow is taken up) → bahuvrīhi.
A	3952819	tatpurusa	upapada	pramehaṃ jayati iti	Codebook example: kṛt head jit (√ji) with object prameha → upapada.
A	1385811	tatpurusa	tat-trtiya	nādena bandhaḥ	Mind bound by means of the inner sound; nāda is instrument of binding → tṛtīyā.
A	1274659	tatpurusa	karmadharaya	mahān kratuḥ	Adjective mahā qualifies kratu, same case → karmadhāraya.
A	1542869	tatpurusa	tat-caturthi	etasmai (idam), etad-artham	artha-headed purposive compound (for this purpose) → caturthī per codebook (Pān. 2.1.36).
A	5142317	tatpurusa	karmadharaya	sarve vajraudanāḥ	Pronominal adjective sarva qualifies head, same case → karmadhāraya.
A	2344141	tatpurusa	karmadharaya	svaṃ rājyam	Adjective sva (own) qualifies rājya, same case → karmadhāraya.
A	1709274	tatpurusa	karmadharaya	anye viṣayāḥ (viṣayo 'ntaraḥ)	antara 'other' in apposition to viṣaya, same case → karmadhāraya (other objects).
A	3108120	tatpurusa	tat-sasthi	puruṣāṇāṃ sattamaḥ	Superlative sattama with partitive genitive → ṣaṣṭhī (best of men).
A	315541	dvandva	n/a	namaś ca puraś ca	Two gati words enumerated in the sūtra (genitive dual) → copulative dvandva.
A	4225338	tatpurusa	tat-trtiya	balena uddhataḥ	noun+ppp; puffed up/excited by strength → instrumental.
A	953549	tatpurusa	tat-trtiya	bhavatā uktam	Agent of passive participle ukta in instrumental → tṛtīyā (said by you).
A	2223507	tatpurusa	tat-sasthi	kāmānāṃ sevanam	Objective genitive of action-noun sevana (kartṛkarmaṇoḥ kṛti ṣaṣṭhī) → ṣaṣṭhī.
A	4184387	bahuvrihi	n/a	āgato roṣo yayoḥ tau	ppp(āgata)+noun(roṣa) describing the two armies possessively (whose rage arose) → bahuvrīhi.
A	3557900	bahuvrihi	n/a	viśiṣṭā guṇā yeṣāṃ te	ppp(viśiṣṭa)+noun(guṇa) describing the subtle elements possessively → bahuvrīhi.
A	1038197	tatpurusa	karmadharaya	nandanaṃ (nāma) vanam	Appositional/adjectival name qualifying vana (the Nandana grove) → karmadhāraya.
A	1419442	tatpurusa	tat-sasthi	śyenānāṃ madhye	madhya governs partitive genitive → ṣaṣṭhī (midst of hawks); Loc external case is distractor.
A	3999454	tatpurusa	tat-sasthi	varṣāṇāṃ sahasrāṇi	Number-word sahasra as head with partitive genitive → ṣaṣṭhī (not dvigu: numeral not member1).
A	4223484	tatpurusa	tat-sasthi	yojanānāṃ śatam	śata as head with partitive genitive → ṣaṣṭhī (not dvigu).
A	4021123	tatpurusa	tat-trtiya	śokena saṃtaptam	noun+ppp; tormented by grief → instrumental.
A	4852385	dvandva	n/a	sac ca asac ca	Being and non-being coordinated (samāhāra neut. sing.) → dvandva.
A	4494697	dvandva	n/a	tīkṣṇaṃ ca uṣṇaṃ ca	Two coordinate guṇa-adjectives of the substance (pungent and hot) → dvandva.
A	692207	tatpurusa	tat-trtiya	vedaiḥ proktam	Agent of passive participle prokta in instrumental → tṛtīyā (proclaimed by the Veda).
A	1725575	tatpurusa	tat-sasthi	adhikṣepasya vacanam	Words expressing abuse, objective/content genitive → ṣaṣṭhī.
A	1939324	tatpurusa	tat-sasthi	ajalasya padam	Doctrinal topic 'of non-water' (X-pada = topic of X), genitive → ṣaṣṭhī.
A	2806856	tatpurusa	upapada	vijayam āvahati iti	Deverbal agentive head āvaha (ā√vah) with object vijaya → upapada.
A	4640759	tatpurusa	dvigu	ṣaṭ manavaḥ	Numeral ṣaṣ as member1 + noun (collective set) → dvigu.
A	2271386	tatpurusa	tat-sasthi	kurūṇāṃ śreṣṭhaḥ	Superlative śreṣṭha with partitive genitive → ṣaṣṭhī; Voc external case is distractor.
A	2826845	tatpurusa	tat-sasthi	gajānām anīkam	Troop of elephants, partitive genitive → ṣaṣṭhī.
A	2024475	tatpurusa	tat-sasthi	mama bhaktaḥ	'My devotee', possessive genitive → ṣaṣṭhī.
A	4570897	tatpurusa	tat-pancami	sirābhyaḥ jāḥ	Born from the veins; source of birth is apādāna (Pān. 1.4.30) → pañcamī (sirā is source, not object, so not upapada).
A	4629004	tatpurusa	tat-sasthi	kāmāvasāyinaḥ bhāvaḥ	-tva abstract 'state of being X' = tasya bhāvaḥ (Pān. 5.1.119), member1 genitive to head → ṣaṣṭhī.
A	4545570	tatpurusa	tat-sasthi	bhallātakasya kvāthaḥ	Decoction of bhallātaka, genitive → ṣaṣṭhī.
A	4295984	bahuvrihi	n/a	priyaṃ yaśo yasya saḥ	'One to whom fame is dear', exocentric possessive describing the man → bahuvrīhi.
