root	stem	dcs_lemma	scherzl_case	ud_case	subtype	example_only	pages	verdict	dep_gov_count	dep_total	cooc_count	cooc_expected	cooc_ratio	verb_freq	verb_parsed_freq
ad	ad	ad	instr	Ins	orug	True	105	CONFIRMED	27	138	199	162.2	1.227	699	86
ad	ad	ad	instr	Ins	adv	True	131	CONFIRMED	27	138	199	162.2	1.227	699	86
ad	ad	ad	gen	Gen		False	254,255	CONFIRMED	4	138	222	175.7	1.264	699	86
ah	ah	ah	acc	Acc		False	59	CONFIRMED	348	763	6678	4578.4	1.459	9447	662
ah	ah	ah	acc	Acc		False	73,75	CONFIRMED	348	763	6678	4578.4	1.459	9447	662
an	prāṇ	prāṇ	instr	Ins	orud	True	112	CONFIRMED	9	31	66	36.2	1.823	156	33
āp	āp	āp	acc	Acc		False	45	CONFIRMED	149	286	2132	1121.5	1.901	2314	169
āp	prāp	prāp	instr	Ins	pros	True	102	CONFIRMED	4	78	1560	1397.6	1.116	6022	51
āp	avāp	avāp	instr	Ins	pros	True	102	CONFIRMED	7	36	380	365.3	1.04	1574	17
āp	avāp	avāp	abl	Abl		True	202,205	UNATTESTED-INSUFFICIENT	0	36	207	123.1	1.682	1574	17
ar	samarpay	samarpay	gen	Gen		False	261,263	UNATTESTED-INSUFFICIENT	0	1	67	60.1	1.116	239	1
ar	ud-ṛ		instr	Ins	orud	True	108	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ar	ar		acc	Acc		False	51,52	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ar	ar		instr	Ins	pros	True	101	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ar	ar		dat	Dat	dop	False	150	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ar	ar		loc	Loc		True	307	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ar	(nir-ar)		abl	Abl		False	190	NOT-ADJUDICABLE	0	0	0	0.0		0	0
arc	arc	arc	acc	Acc		False	45	CONFIRMED	14	38	314	200.2	1.569	413	26
arc	arc	arc	dat	Dat	dop	False	151	CONFIRMED	9	38	91	23.9	3.813	413	26
arc	arc	arc	abl	Abl		True	223	CONTRADICTED	0	38	14	32.3	0.434	413	26
arch/arcch	arch		acc	Acc		False	51	NOT-ADJUDICABLE	0	0	0	0.0		0	0
arch/arcch	ṛcch		abl	Abl		True	202	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ard	ard		acc	Acc		False	60,61	NOT-ADJUDICABLE	0	0	0	0.0		0	0
ardh	vyardhay	vyardhay	instr	Ins	sep	False	133,135	CONFIRMED	7	13	41	10.9	3.759	47	10
arh	arh	arh	acc	Acc		False	45,47	CONFIRMED	5	20	2043	1153.4	1.771	2380	19
arth	arthay	arthay	acc	Acc		False	69,71	UNATTESTED-INSUFFICIENT	0	0	68	56.7	1.199	117	0
arth	prārthay	prārthay	acc	Acc		False	71	CONFIRMED	1	5	330	205.5	1.606	424	3
arth	prārthay	prārthay	loc	Loc		True	287	CONFIRMED	1	5	81	86.9	0.932	424	3
as	abhyas	abhyas	acc	Acc		True	63	CONFIRMED	2	5	203	147.8	1.373	305	3
as	as	as	nom	Nom		False	24	CONFIRMED	349	597	34665	26576.2	1.304	35753	2147
as	as	as	nom	Nom		True	25	CONFIRMED	349	597	34665	26576.2	1.304	35753	2147
as	as	as	acc	Acc		False	65	CONFIRMED	73	597	13237	17327.4	0.764	35753	2147
as	as	as	instr	Ins	sep	True	136	CONFIRMED	10	597	7550	8297.8	0.91	35753	2147
as	as	as	dat	Dat	ogr	False	163,165	CONFIRMED	66	597	4170	2066.1	2.018	35753	2147
as	as	as	abl	Abl		False	197	CONFIRMED	15	597	3448	2795.3	1.233	35753	2147
as	as	as	gen	Gen		False	245	CONFIRMED	31	597	14269	8985.0	1.588	35753	2147
as	as	as	loc	Loc		False	282	CONFIRMED	53	597	9155	7327.9	1.249	35753	2147
as	as	as	dat	Dat	ogr	False	159	CONFIRMED	66	597	4170	2066.1	2.018	35753	2147
as	atyas	atyas	acc	Acc		False	62	UNATTESTED-INSUFFICIENT	0	0	3	2.9	1.032	6	0
as	(prati-as)	as	dat	Dat	dop	True	151	CONFIRMED	66	597	4170	2066.1	2.018	35753	2147
aś	aś	aś	acc	Acc		False	45	CONFIRMED	144	293	1622	944.1	1.718	1948	175
aś	aś	aś	abl	Abl		True	202	CONFIRMED	3	293	165	152.3	1.083	1948	175
aś	aś	aś	gen	Gen		False	254,255	CONFIRMED	14	293	677	489.5	1.383	1948	175
aś	aś	aś	loc	Loc		True	281,288	CONFIRMED	16	293	375	399.3	0.939	1948	175
aś	atyaś	atyaś	acc	Acc		True	62	CONFIRMED	2	3	10	5.8	1.719	12	2
aś	(pra-aś)	aś	gen	Gen		True	255	CONFIRMED	14	293	677	489.5	1.383	1948	175
ās	ās	ās	acc	Acc		False	51,52	CONFIRMED	25	154	1266	947.5	1.336	1955	135
ās	(sam-ās)	ās	acc	Acc		True	63	CONFIRMED	25	154	1266	947.5	1.336	1955	135
aṭ	aṭ	aṭ	acc	Acc		False	51	UNATTESTED-INSUFFICIENT	0	0	41	29.1	1.41	60	0
av	av	av	loc	Loc		False	301	CONFIRMED	12	232	230	177.7	1.294	867	143
badh	bībhats	bībhats	abl	Abl		False	192	CONFIRMED	2	5	13	1.2	11.085	15	4
bādh	bādh	bādh	instr	Ins	orud	True	105,108	CONFIRMED	4	33	193	105.8	1.824	456	24
bādh	bādh	bādh	instr	Ins	pr	True	121	CONFIRMED	4	33	193	105.8	1.824	456	24
bādh	nibādh	nibādh	instr	Ins	orud	True	113	UNATTESTED-INSUFFICIENT	0	0	4	0.9	4.309	4	0
bādh	paribādh	paribādh	abl	Abl		False	191,192,10	CONFIRMED	1	4	8	1.3	6.019	17	3
bandh	bandh	bandh	acc	Acc		False	46	CONFIRMED	52	146	1596	1286.2	1.241	2654	89
bandh	bandh	bandh	abl	Abl		True	188	CONFIRMED	2	146	249	207.5	1.2	2654	89
bandh	bandh	bandh	loc	Loc		False	311	CONFIRMED	23	146	873	544.0	1.605	2654	89
bhā	bhā	bhā	nom	Nom		False	24	CONFIRMED	30	43	712	550.8	1.293	741	24
bhā	bhā	bhā	instr	Ins	orud	True	108	CONFIRMED	4	43	248	172.0	1.442	741	24
bhā	pratibhā	pratibhā	nom	Nom		False	24	CONFIRMED	2	3	156	121.9	1.28	164	1
bhā	pratibhā	pratibhā	gen	Gen		False	252,253	UNATTESTED-INSUFFICIENT	0	3	108	41.2	2.62	164	1
bhaj	bhaj	bhaj	acc	Acc		False	46	CONFIRMED	24	51	1053	564.1	1.867	1164	28
bhaj	bhaj	bhaj	gen	Gen		False	254,256	CONFIRMED	1	51	290	292.5	0.991	1164	28
bhaj	bhaj	bhaj	loc	Loc		True	309	CONFIRMED	2	51	216	238.6	0.905	1164	28
bhaj	nirbhaj	nirbhaj	abl	Abl		False	186	CONFIRMED	6	17	23	3.8	6.129	48	6
bhaj	vibhaj	vibhaj	acc	Acc		False	69	CONFIRMED	11	25	441	293.7	1.502	606	17
bhaj	vibhaj	vibhaj	gen	Gen		True	271	CONFIRMED	1	25	175	152.3	1.149	606	17
bhakṣ	bhakṣ	bhakṣ	gen	Gen		False	254,255	CONFIRMED	2	4	51	40.7	1.253	162	2
bhañj	bhañj	bhañj	acc	Acc		False	46	CONFIRMED	7	8	347	365.4	0.95	754	9
bhar	ābhar		abl	Abl		True	188	NOT-ADJUDICABLE	0	0	0	0.0		0	0
bhar	bhar		acc	Acc		False	46	NOT-ADJUDICABLE	0	0	0	0.0		0	0
bhar	bhar		instr	Ins	orud	True	107	NOT-ADJUDICABLE	0	0	0	0.0		0	0
bhar	bhar		dat	Dat	dop	False	151	NOT-ADJUDICABLE	0	0	0	0.0		0	0
bharts	bharts	bharts	acc	Acc		False	59	UNATTESTED-INSUFFICIENT	0	0	2	2.9	0.688	6	0
bhaṣ	bhaṣ	bhaṣ	acc	Acc		False	59	UNATTESTED-INSUFFICIENT	0	2	7	5.3	1.313	11	1
bhāṣ	abhibhāṣ	abhibhāṣ	acc	Acc		False	59	CONFIRMED	3	4	223	139.1	1.603	287	4
bhāṣ	bhāṣ	bhāṣ	acc	Acc		False	59	CONFIRMED	18	59	1162	742.5	1.565	1532	22
