base_stem,dcs_lemma_grammar,formation_class,method,evidence,tokens
cintay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,200
preṣay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),pra+iṣ (MW s.v. pra-iṣ; iṣ 6.P 'send/impel') -> preṣayati; preverb-fused root invisible to the bare phonological test,184
pūjay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,160
janay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),jan 4.Ā 'be born' -> janayati 'begets' — transparent causative; identity grade only because medial a takes no strengthening (Whitney §1042e),159
darśay,10. Ā.,causative,root-recovery,guna ar->ṛ: dṛś (4. Ā.),131
kathay,10. Ā.,class10_lexical,override (auto was ambiguous_caus_class10/root-recovery(identity)),"MW kath cl.10 kathayati, denominative of katham (Whitney §1056a); the DCS inventory row 'kath 4.Ā.' reflects the rare epic middle kathate, not an independent underived root",125
pātay,10. Ā.,causative,root-recovery,vrddhi ā->a: pat (1. Ā.),105
vāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: vṛ (1. Ā.),102
kāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: kṛ (2. Ā.),91
chāday,10. Ā.,ambiguous_caus_class10,override (auto was causative/root-recovery),MW chad cl.10 chādayati 'cover' is the principal entry; plain chad barely attested — boundary case,87
sthāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): sthā (1. Ā.),76
tāḍay,10. Ā.,class10_lexical,override (auto was causative/root-recovery),MW/Dhātupāṭha taḍ curādi (cl.10) tāḍayati only; the DCS inventory row 'taḍ 2.P.' has no MW basis,62
yodhay,10. Ā.,causative,root-recovery,guna o->u: yudh (2. P.),59
coday,10. Ā.,causative,root-recovery,guna o->u: cud (1. Ā.),56
dhāray,10. Ā.,causative,override-confirmed (root-recovery),"dhṛ -> dhārayati; formally causative (functions as the plain present 'holds' in classical usage, Whitney §1041b)",52
prasāday,"10.P.,10.Ā.",causative,root-recovery,strip prasād->sād; vrddhi ā->a: sad (6. P.),51
varay,10. Ā.,ambiguous_caus_class10,override (auto was causative/root-recovery),formally guna of vṛ 9 'choose' but varayati itself means 'chooses' (not 'causes to choose'); MW lists vṛ cl.10,48
pālay,10. Ā.,class10_lexical,override-confirmed (root-recovery(no-hit)),MW pāl 10 = denominative of pāla m. 'guardian'; the automatic hit pāl->pal (pal 1 'go') is a spurious homophone,47
utpāday,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: utpad (4.P.,4.Ā.)",45
toṣay,10. Ā.,causative,root-recovery,guna o->u: tuṣ (4. Ā.),41
pūray,10. Ā.,causative,override (auto was class10_lexical/root-recovery(no-hit)),"pṝ 9 'fill' (pūryate) -> pūrayati, standard causative (Whitney §1042)",40
mantray,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,35
niveday,"10.P.,10.Ā.",causative,root-recovery,guna e->i: nivid (2.P.),35
yojay,10. Ā.,causative,root-recovery,guna o->u: yuj (1. P.),35
sāntvay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,34
kalpay,10. Ā.,causative,override (auto was class10_lexical/root-recovery(no-hit)),kḷp 1.Ā 'be fit' -> kalpayati 'arranges' (Whitney §1042b),31
arcay,10. Ā.,ambiguous_caus_class10,override-confirmed (root-recovery(identity)),"arc 1.P arcati 'honour' and arcayati cl.10 same sense — causative form, non-causative semantics",29
pīḍay,10. Ā.,class10_lexical,override (auto was ambiguous_caus_class10/root-recovery(identity)),"MW pīḍ cl.10 pīḍayati 'press, pain' is the principal formation (cl.1 pīḍati marginal)",29
bhakṣay,10. Ā.,ambiguous_caus_class10,override-confirmed (root-recovery(identity)),"MW bhakṣ cl.1 bhakṣati and cl.10 bhakṣayati 'eat' same sense; denominative origin (bhakṣa) — causative form, plain meaning",28
ājñāpay,"10.P.,10.Ā.",causative,root-recovery,strip ājñāp->jñāp; p-caus (ā-p): jñā (4. Ā.),27
vijñāpay,"10.P.,10.Ā.",causative,root-recovery,"p-caus (ā-p): vijñā (9.P.,9.Ā.)",25
īkṣ,4. P.,plain_root,dcs-grammar,4. P.,25
śrāvay,10. Ā.,causative,root-recovery,vrddhi āv->u: śru (4. P.),25
bhī,1. P.,plain_root,dcs-grammar,1. P.,24
tarpay,10. Ā.,causative,root-recovery,guna ar->ṛ: tṛp (6. Ā.),24
visarjay,"10.P.,10.Ā.",causative,root-recovery,"guna ar->ṛ: visṛj (6.Ā.,6.P.,1.P.,4.Ā.)",23
adhyāpay,"10.P.,10.Ā.",causative,override (auto was class10_lexical/root-recovery(no-hit)),adhi+i 2.P 'study' -> adhyāpayati 'teaches': -p- causative on the ā-grade of i (Whitney §1042m) — unreachable by suffix reversal,22
praveśay,"10.P.,10.Ā.",causative,root-recovery,"guna e->i: praviś (4.P.,6.Ā.,6.P.)",22
prārthay,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",22
vid,1. Ā.,plain_root,dcs-grammar,1. Ā.,22
chanday,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: chand (2. P.),20
nivāray,"10.P.,10.Ā.",causative,root-recovery,strip nivār->vār; vrddhi ār->ṛ: vṛ (1. Ā.),20
ārādhay,"10.P.,10.Ā.",causative,root-recovery,strip ārādh->rādh; vrddhi ā->a: radh (4. Ā.),20
āśvāsay,"10.P.,10.Ā.",causative,root-recovery,strip āśvās->śvās; vrddhi ā->a: śvas (1. Ā.),20
śamay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),śam 4.P 'become calm' -> śamayati 'calms' (a-vowel unstrengthened),20
mohay,10. Ā.,causative,root-recovery,guna o->u: muh (4. Ā.),19
yājay,10. Ā.,causative,root-recovery,vrddhi ā->a: yaj (2. P.),19
saṃpreṣay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),pra+iṣ (MW s.v. pra-iṣ; iṣ 6.P 'send/impel') -> preṣayati; preverb-fused root invisible to the bare phonological test,18
āropay,"10.P.,10.Ā.",causative,root-recovery,strip ārop->rop; guna o->u: rup (6. P.),18
niveśay,"10.P.,10.Ā.",causative,root-recovery,strip niveś->veś; guna e->i: viś (3. P.),17
bhrāmay,10. Ā.,causative,root-recovery,vrddhi ā->a: bhram (4. Ā.),16
mokṣay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,16
pracchāday,"10.P.,10.Ā.",ambiguous_caus_class10,override (auto was causative/root-recovery),MW chad cl.10 chādayati 'cover' is the principal entry; plain chad barely attested — boundary case,16
prasthāpay,10.P.,causative,root-recovery,"p-caus (ā-p): prasthā (1.P.,1.Ā.)",16
sampūjay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",15
tarkay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,15
utthāpay,"10.P.,10.Ā.",causative,root-recovery,"p-caus (ā-p): utthā (1.P.,1.Ā.)",15
āhāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ār->ṛ: āhṛ (1.P.,1.Ā.)",15
ramay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),ram 1.Ā 'delight in' -> ramayati 'delights (another)' (Whitney §1042),14
ās,4. P.,plain_root,dcs-grammar,4. P.,14
kāmay,10. P.,causative,root-recovery,vrddhi ā->a: kam (4. P.),13
nāśay,10. Ā.,causative,root-recovery,vrddhi ā->a: naś (1. Ā.),13
trāsay,10. Ā.,causative,root-recovery,vrddhi ā->a: tras (4. Ā.),13
upās,"2.Ā.,1.Ā.,2.P.,4.P.,1.P.",plain_root,dcs-grammar,"2.Ā.,1.Ā.,2.P.,4.P.,1.P.",13
āmantray,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",13
ānī,"1.P.,1.Ā.",plain_root,dcs-grammar,"1.P.,1.Ā.",13
arday,10. Ā.,causative,root-recovery,guna ar->ṛ: ṛd (1. P.),12
bhojay,10. Ā.,causative,root-recovery,guna o->u: bhuj (6. P.),12
grāhay,10. Ā.,causative,root-recovery,vrddhi ā->a: grah (4. P.),12
rocay,10. Ā.,causative,root-recovery,guna o->u: ruc (1. P.),12
snāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): snā (4. P.),12
āhvā,"6.P.,1.Ā.,4.P.,6.Ā.,4.Ā.",plain_root,dcs-grammar,"6.P.,1.Ā.,4.P.,6.Ā.,4.Ā.",12
jīvay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),jīv 1.P 'live' -> jīvayati 'revives' (long medial vowel unstrengthened),11
mānay,10. Ā.,causative,root-recovery,vrddhi ā->a: man (1. Ā.),11
prāpay,"10.P.,10.Ā.",causative,root-recovery,p-caus (ā-p): prā (2. Ā.),11
saṃcoday,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: saṃcud (1.P.,1.Ā.)",11
tāpay,10. Ā.,causative,root-recovery,vrddhi ā->a: tap (4. Ā.),11
ānāyay,"10.P.,10.Ā.",causative,root-recovery,strip ānāy->nāy; vrddhi āy->ī: nī (2. P.),11
cūrṇay,Denom. P.,denominative,dcs-grammar,Denom. P.,10
hu,3. Ā.,plain_root,dcs-grammar,3. Ā.,10
kṣobhay,10. Ā.,causative,root-recovery,guna o->u: kṣubh (1. Ā.),10
mocay,10. Ā.,causative,root-recovery,guna o->u: muc (6. Ā.),10
plāvay,10. Ā.,causative,root-recovery,vrddhi āv->u: plu (1. P.),10
pravartay,"10.P.,10.Ā.",causative,root-recovery,"guna ar->ṛ: pravṛt (1.P.,1.Ā.)",10
saṃcintay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",10
utpāṭay,10.P.,causative,root-recovery,strip utpāṭ->pāṭ; vrddhi ā->a: paṭ (1. P.),10
vīkṣ,"1.Ā.,4.P.,1.P.",plain_root,dcs-grammar,"1.Ā.,4.P.,1.P.",10
śobhay,10. Ā.,causative,root-recovery,guna o->u: śubh (6. Ā.),10
cālay,10. Ā.,causative,root-recovery,vrddhi ā->a: cal (1. Ā.),9
drāvay,10. Ā.,causative,root-recovery,vrddhi āv->u: dru (9. P.),9
kampay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),kamp 1.Ā 'tremble' -> kampayati 'shakes',9
niryātay,10.P.,causative,root-recovery,strip niryāt->yāt; vrddhi ā->a: yat (1. P.),9
āsphoṭay,"10.P.,10.Ā.",causative,root-recovery,strip āsphoṭ->sphoṭ; guna o->u: sphuṭ (6. Ā.),9
avatāray,10.P.,causative,root-recovery,strip avatār->tār; vrddhi ār->ṛ: tṛ (3. P.),8
bhartsay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: bharts (1. Ā.),8
bhūṣay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: bhūṣ (1. P.),8
bodhay,10. Ā.,causative,root-recovery,guna o->u: budh (1. Ā.),8
dāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: dṛ (1. P.),8
pāyay,10. Ā.,causative,root-recovery,vrddhi āy->ī: pī (4. P.),8
sampāday,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: sampad (4.P.,4.Ā.)",8
saṃchāday,10.P.,ambiguous_caus_class10,override (auto was causative/root-recovery),MW chad cl.10 chādayati 'cover' is the principal entry; plain chad barely attested — boundary case,8
saṃdarśay,"10.P.,10.Ā.",causative,root-recovery,strip saṃdarś->darś; guna ar->ṛ: dṛś (4. Ā.),8
saṃtarpay,"10.P.,10.Ā.",causative,root-recovery,guna ar->ṛ: saṃtṛp (4.P.),8
vartay,10. Ā.,causative,root-recovery,guna ar->ṛ: vṛt (3. P.),8
vicintay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",8
śikṣay,10. P.;10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),śikṣ 1.Ā 'learn' (old desid. of śak) -> śikṣayati 'teaches' = 'causes to learn' (MW caus.),8
bheday,10. Ā.,causative,root-recovery,guna e->i: bhid (3. P.),7
dharṣay,10. P.,causative,root-recovery,guna ar->ṛ: dhṛṣ (1. P.),7
dāhay,10. P.,causative,root-recovery,vrddhi ā->a: dah (2. P.),7
garhay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: garh (1. P.),7
ghoṣay,10. Ā.,causative,root-recovery,guna o->u: ghuṣ (1. Ā.),7
māpay,10. Ā.,causative,root-recovery,p-caus (ā-p): mā (3. P.),7
nanday,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),nand 1.P 'rejoice' -> nandayati 'gladdens',7
nivartay,"10.P.,10.Ā.",causative,root-recovery,"guna ar->ṛ: nivṛt (1.P.,1.Ā.)",7
niyojay,"10.P.,10.Ā.",causative,root-recovery,strip niyoj->yoj; guna o->u: yuj (1. P.),7
pothay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,7
sūday,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: sūd (1. Ā.),7
vācay,10. Ā.,causative,root-recovery,vrddhi ā->a: vac (2. P.),7
vāhay,10. Ā.,causative,root-recovery,vrddhi ā->a: vah (2. Ā.),7
āsāday,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: āsad (1.P.,2.P.,1.Ā.)",7
avalokay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",6
gamay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),gam 'go' -> gamayati 'causes to go' (Whitney §1042e),6
ghātay,10. Ā.,causative,override (auto was class10_lexical/root-recovery(no-hit)),"han 2.P 'slay' -> ghātayati, suppletive causative stem (Whitney §1042l)",6
khānay,10. P.,causative,root-recovery,vrddhi ā->a: khan (2. P.),6
kṣamay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: kṣam (1. P.),6
lobhay,10. Ā.,causative,root-recovery,guna o->u: lubh (4. Ā.),6
rañjay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),"rañj 4.Ā 'be reddened/charmed' -> rañjayati 'colours, delights'",6
samāpay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),sam-āp 5 'complete' -> samāpayati 'brings to an end' (MW caus.),6
saṃkalpay,"10.P.,10.Ā.",causative,override (auto was class10_lexical/root-recovery(no-hit)),kḷp 1.Ā 'be fit' -> kalpayati 'arranges' (Whitney §1042b),6
vāday,10. Ā.,causative,root-recovery,vrddhi ā->a: vad (1. Ā.),6
ālokay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",6
āveday,"10.P.,10.Ā.",causative,root-recovery,strip āved->ved; guna e->i: vid (2. Ā.),6
arpay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,5
dīkṣay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: dīkṣ (1. P.),5
dīpay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dīp 4.Ā 'blaze' -> dīpayati 'kindles',5
lakṣay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: lakṣ (1. Ā.),5
mṛgay,Denom. P.,denominative,dcs-grammar,Denom. P.,5
nirvartay,10.P.,causative,root-recovery,strip nirvart->vart; guna ar->ṛ: vṛt (3. P.),5
samānī,"1.P.,1.Ā.",plain_root,dcs-grammar,"1.P.,1.Ā.",5
saṃmānay,10.P.,causative,root-recovery,strip saṃmān->mān; vrddhi ā->a: man (1. Ā.),5
saṃyojay,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: saṃyuj (7.Ā.,4.P.,7.P.)",5
stambhay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),stambh 'become rigid' -> stambhayati 'makes firm' (MW caus.),5
sādhay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),sādh 1/5 'succeed' -> sādhayati 'accomplishes' (MW caus.),5
tolay,10. P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. P.,5
tvaray,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),tvar 1.Ā 'hasten' -> tvarayati 'speeds (another)' (MW caus.),5
udyojay,10.P.,causative,root-recovery,"guna o->u: udyuj (7.Ā.,7.P.)",5
vardhay,10. Ā.,causative,root-recovery,guna ar->ṛ: vṛdh (6. P.),5
vañcay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),"vañc 1 'move crookedly' -> caus. vañcayati 'deceives' (MW caus., specialized sense)",5
vidhvaṃsay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dhvaṃs 1.Ā 'fall to pieces' -> dhvaṃsayati 'destroys' (MW caus.),5
vidrāvay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi āv->u: vidru (1.P.,1.Ā.)",5
ārocay,"10.P.,10.Ā.",causative,root-recovery,guna o->u: āruc (1.Ā.),5
śātay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,5
cāray,10. Ā.,causative,root-recovery,vrddhi ā->a: car (1. Ā.),4
gaṇay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,4
harṣay,10. Ā.,causative,root-recovery,guna ar->ṛ: hṛṣ (1. P.),4
hlāday,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),hlād 1.Ā 'be glad' -> hlādayati 'gladdens' (MW caus.),4
kālay,10. Ā.,causative,root-recovery,vrddhi ā->a: kal (1. P.),4
maṇḍay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,4
nipātay,"10.P.,10.Ā.",causative,root-recovery,strip nipāt->pāt; vrddhi ā->a: pat (1. Ā.),4
nirbhartsay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped nirbharts->bharts): bharts (1. Ā.),4
nirvāpay,10.P.,causative,root-recovery,p-caus (ā-p): nirvā (2.P.),4
pracoday,10.P.,causative,root-recovery,"guna o->u: pracud (1.P.,1.Ā.)",4
pāṭay,10. Ā.,causative,root-recovery,vrddhi ā->a: paṭ (1. P.),4
samarpay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",4
sambhāvay,"10.P.,10.Ā.",causative,root-recovery,strip sambhāv->bhāv; vrddhi āv->ū: bhū (1. Ā.),4
samāśvāsay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: samāśvas (1.P.,2.P.,2.Ā.)",4
saṃstambhay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),stambh 'become rigid' -> stambhayati 'makes firm' (MW caus.),4
saṃtāpay,10.P.,causative,root-recovery,strip saṃtāp->tāp; vrddhi ā->a: tap (4. Ā.),4
saṃvardhay,10.P.,causative,root-recovery,"guna ar->ṛ: saṃvṛdh (1.P.,1.Ā.)",4
smāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: smṛ (1. Ā.),4
tāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: tṛ (3. P.),4
upamantray,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",4
varṇay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,4
visphāray,"10.P.,10.Ā.",causative,root-recovery,strip visphār->sphār; vrddhi ā->a: sphar (1. P.),4
ādīpay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dīp 4.Ā 'blaze' -> dīpayati 'kindles',4
āpūray,"10.P.,10.Ā.",causative,override (auto was class10_lexical/root-recovery(no-hit)),"pṝ 9 'fill' (pūryate) -> pūrayati, standard causative (Whitney §1042)",4
śrapay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,4
arhay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: arh (1. Ā.),3
bandhay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: bandh (4. P.),3
bhāsay,10. Ā.,causative,root-recovery,vrddhi ā->a: bhas (1. P.),3
bhṛ,1. Ā.,plain_root,dcs-grammar,1. Ā.,3
bādhay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: bādh (1. P.),3
cheday,10. P.,causative,root-recovery,guna e->i: chid (1. P.),3
dāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): dā (1. Ā.),3
gopay,10. Ā.,causative,root-recovery,guna o->u: gup (1. Ā.),3
hiṃsay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: hiṃs (7. Ā.),3
jaray,10. Ā.,causative,root-recovery,guna ar->ṛ: jṛ (6. P.),3
jñāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): jñā (4. Ā.),3
karśay,10. Ā.,causative,root-recovery,guna ar->ṛ: kṛś (1. P.),3
khyāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): khyā (4. P.),3
kṣapay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: kṣap (1. Ā.),3
lambhay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,3
loḍay,10. P.,causative,root-recovery,guna o->u: luḍ (1. P.),3
maday,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: mad (3. P.),3
majjay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: majj (1. Ā.),3
nimantray,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",3
prabodhay,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: prabudh (4.P.,1.P.,1.Ā.,4.Ā.)",3
pradarśay,"10.P.,10.Ā.",causative,root-recovery,strip pradarś->darś; guna ar->ṛ: dṛś (4. Ā.),3
