lesson	lemma_iast	band	count_all	rank_all	topic	form	example_iast	dcs_text	dcs_locus	ru	ru_source
XVIII	kāray	топ-1000	1521	433	каузатив: kṛ → kārayati (HB-142)	kāraya	māṃ rajadarśanaṃ kāraya	Hitopadeśa	Hitop, 3, 102.5	дай мне увидеть царя [устрой мне лицезрение царя]	authored
XVIII	darśay	топ-1000	1159	594	каузатив из списка урока: darś caus. показывать (HB-142)	darśayāmi	tad ahaṃ tvāṃ tatra nītvā darśayāmi	Hitopadeśa	Hitop, 1, 73.4	вот я отведу тебя туда и покажу	authored
XVIII	sthāpay	топ-1000	1100	632	каузатив из списка урока: sthā caus. ставить (HB-142)	sthāpayituṃ	jitendriyo hi śaknoti vaśe sthāpayituṃ prajāḥ	Manusmṛti	ManuS, 7, 44.2	ведь [лишь] владеющий чувствами способен держать подданных в повиновении	authored
XVIII	śrāvay	редкое	265	2361	каузатив: śru → śrāvayati (HB-142)	śrāvayet	svādhyāyaṃ śrāvayet pitrye dharmaśāstrāṇi caiva hi	Manusmṛti	ManuS, 3, 232	на обряде предкам пусть даст услышать [чтение] Веды и дхармашастр	authored
XVIII	pūray	редкое	633	1123	исключение: pṝ → pūrayati, ūr вместо вриддхи (HB-142)	pūryate	jalabindunipātena kramaśaḥ pūryate ghaṭaḥ	Hitopadeśa	Hitop, 2, 10.2	падением водяных капель постепенно наполняется кувшин	authored
XXVIII	kup	редкое	500	1398	seṭ-причастие kupita — восстановленный член списка (HB-211)	kupitā	tam uvāca tatas tatra kupitā janakātmajā	Rāmāyaṇa	Rām, Ār, 43, 5	тогда разгневанная дочь Джанаки сказала ему там	authored
XXVIII	krudh	топ-1000	1574	416	aniṭ-причастие kruddha — контраст к kupita (HB-211)	kruddha	ata evāyaṃ daṇḍanāyakaḥ kruddha eva gacchati	Hitopadeśa	Hitop, 2, 119.10	потому-то этот начальник стражи и уходит разгневанным	authored
XXVIII	jan	топ-100	7380	62	тройка jan/san/khan: jāta (HB-219)	jātasya	jātasya hi dhruvo mṛtyur dhruvaṃ janma mṛtasya ca	Hitopadeśa	Hitop, 4, 71.2	ибо рожденному непреложна смерть, непреложно рождение мертвому	authored
XXVIII	khan	редкое	149	3640	тройка jan/san/khan: khāta (HB-219)	khātaṃ	sa khātaṃ pitṛbhir mārgam antarbhaumaṃ mahātmabhiḥ	Rāmāyaṇa	Rām, Bā, 40, 6	он [пошел] подземным путем, прорытым великими предками	authored
XXVIII	san	редкое	155	3542	тройка jan/san/khan: sāta (HB-219)	sanotu	pūṣā vājaṃ sanotu naḥ	Ṛgveda	ṚV, 6, 54, 5.2	пусть Пушан добудет нам награду	authored
XXVIII	pat	топ-1000	2775	211	seṭ-причастие patita из списка урока (HB-211)	patitā	atra marusthale patitā yūyaṃ kiṃ kurutha	Hitopadeśa	Hitop, 3, 4.17	что вы делаете, попав в эту пустыню?	authored
XXXIV	rājan	топ-100	17082	23	samāsānta: rājan → °rāja (HB-269)	rājā	rājovāca katham etat	Hitopadeśa	Hitop, 3, 6	царь сказал: как это [было]?	authored
XXXIV	yuvarāja	редкое	44	7964	samāsānta в деле: °rāja на конце tatpuruṣa (HB-269)	yuvarājena	saṃdhāya yuvarājena yadi vā mukhyamantriṇā	Hitopadeśa	Hitop, 3, 95	заключив союз с наследником престола или с первым министром	authored
XXXIV	sakhi	топ-1000	834	875	samāsānta: sakhi → °sakha (HB-269)	sakhe	saṃjīvakenoktaṃ sakhe brūhi kim etat	Hitopadeśa	Hitop, 2, 154	Санджнивака сказал: друг, скажи, что это?	authored
XXXIV	pathin	топ-1000	1005	698	samāsānta: pathin → °patha (HB-269)	panthānaḥ	śivās te santu panthānaḥ	Hitopadeśa	Hitop, 2, 124.20	да будут пути твои благосклонны [счастливого пути]	authored
XXXIV	apatha	редкое	13	15149	факультативность блокировки: apatha при apathin (HB-269)	apathe	āpad ety ubhayalokadūṣaṇī vartamānam apathe hi durmatim	Kirātārjunīya	Kir, 13, 64.2	ведь к злоумному, стоящему на дурном пути, приходит беда, губящая оба мира	authored
XXXVIII	stu	топ-1000	1522	432	вриддхи в сильных формах: stauti (HB-296)	stauti	udgātā cāpi māṃ stauti gītaghoṣair mahādhvare	Mahābhārata	MBh, 14, 53, 10	и удгатар славит меня звуками песнопений на великом жертвоприношении	authored
XXXVIII	ru	редкое	81	5464	корень tu/ru/stu-группы: rauti (HB-296)	rauti	prāk pādayoḥ patati khādati pṛṣṭhamāṃsaṃ karṇe phalaṃ kim api rauti śanair vicitram	Hitopadeśa	Hitop, 1, 82.2	сперва падает в ноги, [потом] грызет мясо со спины и тихо, чудно воет что-то на ухо	authored
XLIII	vac	топ-100	30970	15	перфект как норма повествования: uvāca (HB-57)	uvāca	rājovāca katham etat	Hitopadeśa	Hitop, 3, 6	царь сказал: как это [было]?	authored
XLIII	bhū	топ-100	32612	13	перфект: babhūva (HB-57)	babhūva	dhārāsārair mahatī vṛṣṭir babhūva	Hitopadeśa	Hitop, 3, 6.6	потоками ливня пролился великий дождь	authored
XLIII	gam	топ-100	15950	25	перфект: jagāma (HB-57)	jagāma	avaruhya jagāmāśu velāvanam anuttamam	Rāmāyaṇa	Rām, Yu, 4, 66	спустившись, он быстро пошел в несравненный прибрежный лес	authored
XLIV	yā	топ-100	5103	81	простое будущее — частая форма (HB-58)	yāsyāmi	yāsyāmi bhava suprītā vanaṃ cīrajaṭādharaḥ	Rāmāyaṇa	Rām, Ay, 16, 30.2	я уйду в лес, нося платье из лыка и косу отшельника, — будь же довольна	authored
XLIV	dṛś	топ-100	14755	27	простое будущее: drakṣyati (HB-58)	drakṣyāmi	ito drakṣyāmi vaidehīṃ rāmadarśanalālasām	Rāmāyaṇa	Rām, Su, 12, 41	отсюда я увижу Вайдехи, жаждущую увидеть Раму	authored
XLV	sic	редкое	442	1563	a-аорист: asicat — парадигма урока (HB-60)	asicann	toyair jalastham asicann ārabdhajalakelayaḥ	Kathāsaritsāgara	KSS, 5, 3, 57.2	затеяв игры в воде, они обливали водой сидевшего в ней	authored
XLV	muc	топ-1000	3213	162	a-аорист: amucat (HB-60)	amucad	praśaste tithinakṣatre bohittham amucad vaṇik	Bṛhatkathāślokasaṃgraha	BKŚS, 18, 251.2	в благоприятный день, под счастливым созвездием купец отпустил корабль [отчалил]	authored
XLV	dā	топ-100	9987	43	корневой аорист: mā adāḥ — запретительная конструкция (HB-363)	adāḥ	asūyakāya māṃ mādās tathā syāṃ vīryavattamā	Manusmṛti	ManuS, 2, 114.2	не выдавай меня хулителю — тогда стану я наимощнейшей [говорит Веда о себе]	authored
управление	hu	топ-1000	1652	395	рамка Шерцля, подтвержденная корпусом: hu + Acc.	juhuyāt	vātendraguruvahnīnāṃ juhuyāt sarpiṣāhutīḥ	Manusmṛti	ManuS, 11, 120.2	Ветру, Индре, Наставнику и Огню пусть принесет возлияния топленого масла	authored
управление	ah	топ-100	5988	69	рамка Шерцля: ah + Acc.	āhatuḥ	tāv āhatuḥ katham etat	Hitopadeśa	Hitop, 1, 158	те двое сказали: как это [было]?	authored
управление	grah	топ-100	4310	100	рамка Шерцля: grah + Acc.	gṛhītavyaṃ	bālād api gṛhītavyaṃ yuktam uktaṃ manīṣibhiḥ	Hitopadeśa	Hitop, 2, 79.2	дельное слово следует принять даже от ребенка — так сказали мудрые	authored
управление	pā	топ-1000	4243	101	рамка Шерцля: pā + Acc.	pātuṃ	sa caikadā pipāsākulitaḥ pānīyaṃ pātuṃ yamunākaccham agacchat	Hitopadeśa	Hitop, 2, 20	и однажды, томимый жаждой, он пошел к берегу Ямуны попить воды	authored
управление	dhā	топ-1000	2272	283	рамка Шерцля: dhā + Acc. / Loc.	dadhe	cukrodha ca mahākrodho vadhe cāsya mano dadhe	Rāmāyaṇa	Rām, Yu, 84, 17.2	вспыхнул он великим гневом и устремил мысль на его убийство	authored
