key	verdict	locus	note
a-stems:14	SILENT	—	вне охвата (глагольная морфонология)
a-stems:17	SILENT	—	вне охвата (глагольная морфонология)
a-stems:169	SILENT	—	вне охвата (глагольная морфонология)
a-stems:172	SILENT	—	вне охвата (глагольная морфонология)
a-stems:179	SILENT	—	вне охвата (глагольная морфонология)
a-stems:202	SILENT	—	вне охвата (глагольная морфонология)
declension-overview:20	SILENT	—	вне охвата (глагольная морфонология)
declension-overview:22	SILENT	—	вне охвата (глагольная морфонология)
declension-overview:86	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:19	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:22	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:23	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:30	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:31	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:33	SILENT	—	вне охвата (глагольная морфонология)
consonant-stems:98	SILENT	—	вне охвата (глагольная морфонология)
pronouns:19	SILENT	—	вне охвата (глагольная морфонология)
pronouns:22	SILENT	—	вне охвата (глагольная морфонология)
pronouns:25	SILENT	—	вне охвата (глагольная морфонология)
pronouns:26	SILENT	—	вне охвата (глагольная морфонология)
pronouns:27	SILENT	—	вне охвата (глагольная морфонология)
pronouns:28	SILENT	—	вне охвата (глагольная морфонология)
pronouns:29	SILENT	—	вне охвата (глагольная морфонология)
pronouns:32	SILENT	—	вне охвата (глагольная морфонология)
pronouns:90	SILENT	—	вне охвата (глагольная морфонология)
thematic-present:14	SILENT	—	десятиклассная таксономия презенса не излагается; статья лишь оперирует номерами классов 1–9 в примерах
thematic-present:129	AGREE	Morphological Positions/fn21 (L107, L109, L417)	«present tense 6 (tirati)» — поз.1 (zero), «present tense 1 (bhavati)» — поз.2 (guṇa); fn21: различие 1/6 в ведийском обосновывается местом ударения
thematic-present:134	SILENT	—	тождество -ya- кл. IV и пассивного -yá- не обсуждается (акцент лишь в примерах: mа́nyate)
thematic-present:150	AGREE	Morphological Positions (L99, L107)	«equal to the root + nā» (кл.9), «root + ya» (кл.4); kṛṇoti (5), chinatti (7), bibheti (3); кл. VIII не упомянут; ступень различает 1/6 (поз.2 vs поз.1)
thematic-present:92	SILENT	—	тематичность основ на -aya- не обсуждается
thematic-present:94	SILENT	—	мультиклассность корней по Уитни не цитируется; классы даны лишь в примерах (kṛṇoti, dadati)
thematic-present:186	AGREE	Roots with Full and Partial Alternation (L157, L171)	«as ('to be', type I) and as ('to throw', type II)»; презенс 2 для 'быть' (smaḥ, santi, syāt); класс IV для 'бросать' не назван (asyate — пассив)
conjugation-overview:25	SILENT	—	вне охвата (общая категориальная сетка глагола)
conjugation-overview:26	SILENT	—	инвентарь времён и DCS-склейка не обсуждаются
conjugation-overview:27	SILENT	—	инвентарь наклонений не обсуждается
conjugation-overview:28	SILENT	—	инвентарь залогов не обсуждается
imperfect:19	SILENT	—	образование имперфекта не описывается (формы лишь мимоходом: avivyacuḥ, ajuhavuḥ)
imperfect:21	SILENT	—	вне охвата (семантика времён)
imperfect:76	SILENT	—	сандхи аугмента с начальным гласным не обсуждается
imperfect:77	SILENT	—	вторичные окончания не перечисляются
imperfect:78	SILENT	—	имперфект не описывается; bravīti дан лишь как презенс 2, karo-/класс VIII не упоминаются
imperative-optative:19	SILENT	—	вне охвата (система наклонений)
imperative-optative:89	SILENT	—	правила окончаний и функции императива не излагаются; формы edhi, çādhi лишь мимоходом
imperative-optative:92	SILENT	—	образование оптатива не описывается; syāt, çiṣyāt лишь как примеры форм
