key	verdict	locus	note
a-stems:14	AGREE	урок II (L285)	Полная парадигма deva/phala: 8 падежных форм (с Voc.) × 3 числа — «devaḥ, devau, devāḥ»; о частотности склонения на -a источник молчит.
a-stems:17	SILENT	—	Voc. — отдельная строка парадигм, статус падежа не обсуждается; искал «звательн», «Vocativ», «падеж».
a-stems:169	SILENT	—	Правило прилагательных на a есть (урок IX), о величине класса ничего; искал «прилагательн», «класс».
a-stems:172	AGREE	урок IX (L1183)	«Прилагательные на a (муж. и ср. р.), ж. р. ā» — три родовые парадигмы (deva/phala/jāyā); в словнике и ж. р. на ī (sundara f ī); 72 клетки — арифметика статьи.
a-stems:179	AGREE	урок III (L424)	Таблицы дают одну форму на слитые клетки: «devebhyaḥ (s)» покрывает D и Abl pl; jāyayoḥ — G/L du (урок IX, L1179); дуальные D/I/Abl слиты в одну клетку.
a-stems:202	SILENT	—	Ведийские варианты окончаний не упоминаются; искал devāsas, devebhis, «ведийск».
declension-overview:20	AGREE	урок IX (L1183)	«склоняются в муж. р. как deva, в ср. р. как phala и в ж. р. как jāyā»; парадигмы из 8 падежных строк × 3 числа (напр. aham: N.V., Acc, I, D, Abl, G, L).
declension-overview:22	AGREE	урок XX (L2583)	Склонение подано по исходу основы (на a, ā, i, u, ū, ṛ, o, au, согласный): «принимают те же окончания, что и nau».
declension-overview:86	AGREE	урок XXVI (L3475)	«I.sg. jarayā или jarasā; pādena или padā» — контраст -ena/-ayā/-ā; также vācā, rājñā, manasā; I-строки ряда ранних таблиц в файле утрачены.
consonant-stems:19	SILENT	—	Ранжирования «второй по важности» нет — согласные основы просто вводятся после гласных; искал «важн», «главн».
consonant-stems:22	AGREE	урок XXIV (L3135)	«В слабых пад. n отпадает перед консонантическими окончаниями» — rājabhiḥ, rājasu; V.sg. rājan/śrīman — краткая основа; термина «средняя ступень» нет.
consonant-stems:23	AGREE	урок XXIV (L3135)	«В N. sg. n всегда отпадает» (rājā); парадигма: rājānam (сильн.), rājñā (слаб.), rājabhyām/rājasu (перед согласными).
consonant-stems:30	AGREE	урок XXII (L2891)	«удлиняют i и отбрасывают n» в N.sg. (dhanī) и «перед окончаниями начинающимися с согласного»; перед гласными n сохраняется (dhaninam).
