whitney_no,root_iast,root_slp1,homonym,class,gloss_short,dcs_freq,dcs_rank,attested_forms,mw_id,apte_id
22,as,as,1,II,be,35753,3,syāt:5508|asi:5164|asti:3927|āsīt:1833|syād:1790|astu:1733|'si:1482|asmi:1460,20353,5378
23,as,as,2,I|IV,throw,35753,3,syāt:5508|asi:5164|asti:3927|āsīt:1833|syād:1790|astu:1733|'si:1482|asmi:1460,20354,5378
29,i,i,1,I|IV|V,go,3673,33,eti:1096|yanti:405|etu:211|ihi:154|āyan:150|yantu:129|iyāt:124|eṣyati:102,28539,7286
106,kṛ,kf,1,I|II|V|VIII,make,40799,1,kṛtvā:6008|kuryāt:2720|kṛta:2601|karoti:2396|kṛtam:1646|kurute:1170|kṛtaṃ:1052|kuru:878,54148,11373
120,krī,krI,,IX,buy,439,388,krīṇāti:71|krītvā:50|krīte:23|krīṇāni:23|krītaḥ:22|krīta:18|krītam:17|krītaṃ:17,58088,11717
170,gam,gam,,I|II,go,18341,5,gatvā:1938|gataḥ:1522|gatam:1155|jagāma:1140|gacchati:966|gaccha:890|gata:788|gatāḥ:730,63409,12317
242,chid,Cid,,VII,cut off,2139,64,cicheda:469|chinna:371|chittvā:318|chinnam:69|chinddhi:64|chinatti:60|chinnaṃ:50|chinnā:45,75907,13615
269,jñā,jYA,,I|IX,know,5041,22,jñātvā:995|jñeyā:308|jānāti:283|jñeyaṃ:258|jñeyaḥ:214|jñeyam:210|jānāmi:198|jāne:136,80318,14069
293,tan,tan,1,VIII,stretch,716,229,tato:72|tāyate:55|tanvate:53|atanvata:39|tatāna:37|tanute:37|tanoti:29|tatam:27,82226,14348
349,dā,dA,1,I|II|III|IV,give,12008,7,dattvā:1825|dadyāt:1442|dadāti:791|dadau:699|datta:407|dehi:402|dattaṃ:389|dadyād:376,,15299
393,dhā,DA,1,I|II|III|IV,put,4694,26,dadhāti:914|dhatte:368|dhehi:354|dadhātu:171|dadhe:159|dhīmahi:120|dadhāmi:107|dadhire:95,100607,16000
427,nī,nI,,I|II,lead,2350,55,nayet:180|nītvā:164|nayati:123|naya:121|nayanti:107|nītā:76|nināya:75|nīyate:73,111189,17293
494,bandh,banD,,I|IX,bind,2654,47,baddhvā:532|baddha:483|baddhaḥ:219|baddham:138|badhnāti:134|badhyate:121|baddho:120|baddhaṃ:90,142512,
528,bhū,BU,,I,be,40393,2,bhavati:9633|bhavet:5615|bhavanti:3200|bhaviṣyati:2001|abhavat:1697|bhūtvā:1535|abhūt:1372|babhūva:1220,151456,22244
546,man,man,,III|IV|VIII,think,4697,25,manye:620|mataḥ:359|manyate:351|manyase:324|matvā:305|matam:290|matā:287|manyante:200,156626,22629
597,yaj,yaj,,I|II,offer,6755,16,yajamānaḥ:530|yajate:443|yajati:441|yajamāno:433|yajeta:385|yajamānasya:381|iṣṭvā:364|yajamāna:327,169114,23637
608,yuj,yuj,,II|VII,join,5933,19,yuktam:757|yuktaḥ:722|yuktaṃ:425|yuktā:336|yuktāḥ:289|yukto:286|yujyate:261|yukta:228,171731,23832
699,vac,vac,,II|III,speak,33948,4,uvāca:13880|ucyate:2868|uktam:2586|uktvā:2372|uktaḥ:1698|ūcuḥ:889|ukta:789|uktaṃ:704,184615,24857
704,vad,vad,,I,speak,3914,31,vadanti:546|vada:381|vadati:308|uditam:251|vadet:237|avadat:218|vadāmi:147|vadatāṃ:141,185521,24938
815,śru,Sru,,II|V,hear,10505,9,śrutvā:3776|śṛṇu:1453|śrutam:425|śrotum:392|śrūyate:298|śrutaṃ:275|śṛṇuṣva:214|śṛṇoti:200,223393,28402
874,sthā,sTA,,I,stand,9268,12,sthitaḥ:903|tiṣṭhati:877|sthitam:622|sthitā:462|tiṣṭha:449|tasthau:419|sthitāḥ:383|sthito:328,255316,30846
908,han,han,,I|II|VIII,smite,8744,14,hanti:1000|hatvā:917|hata:839|jaghāna:473|hataḥ:423|jahi:407|hate:371|hato:311,260297,31251
919,hu,hu,,II|III,sacrifice,6418,17,juhoti:2019|juhuyāt:853|hutvā:853|hutam:213|juhvati:182|juhuyād:180|juhomi:172|juhoty:159,263443,31462
