lemma_id	lemma	stem_class	gender	cell	corpus_count	freq_band	core_rank	expected_form	attested_forms	agreement
214955	vac	consonant-stem	Masc	Gen.Sing	2	1000+	2	vacaH	vacaḥ	match
213769	as	indeclinable	Masc	Nom.Sing	3	1000+	5	AH	āḥ|as	variant
213769	as	indeclinable	Masc	Nom.Dual	1	1000+	5	asO	asī	mismatch
213769	as	indeclinable	Masc	Gen.Dual	2	1000+	5	asoH	asoḥ	match
70467	rājan	consonant-stem	Masc	Nom.Sing	5349	1000+	6	rAjA	rājā|rāja	variant
70467	rājan	consonant-stem	Masc	Nom.Dual	20	1000+	6	rAjAnO	rājñau|rājānā|rājānau	variant
70467	rājan	consonant-stem	Masc	Nom.Plur	485	1000+	6	rAjAnaH	rājānaḥ	match
70467	rājan	consonant-stem	Masc	Acc.Sing	1407	1000+	6	rAjAnam	rājānam	match
70467	rājan	consonant-stem	Masc	Acc.Dual	8	1000+	6	rAjAnO	rājānā|rājñau|rājānau	variant
70467	rājan	consonant-stem	Masc	Acc.Plur	70	1000+	6	rAjYaH	rājñaḥ	match
70467	rājan	consonant-stem	Masc	Ins.Sing	801	1000+	6	rAjYA	rājñā|rājnā	variant
70467	rājan	consonant-stem	Masc	Ins.Plur	121	1000+	6	rAjaBiH	rājbhiḥ|rājabhiḥ	variant
70467	rājan	consonant-stem	Masc	Dat.Sing	246	1000+	6	rAjYe	rājñe	match
70467	rājan	consonant-stem	Masc	Dat.Plur	10	1000+	6	rAjaByaH	rājabhyaḥ|rājbhyaḥ	variant
70467	rājan	consonant-stem	Masc	Abl.Sing	36	1000+	6	rAjYaH	rājñaḥ|rājataḥ	variant
70467	rājan	consonant-stem	Masc	Abl.Plur	2	1000+	6	rAjaByaH	rājbhyaḥ	mismatch
70467	rājan	consonant-stem	Masc	Gen.Sing	1358	1000+	6	rAjYaH	rājñaḥ	match
70467	rājan	consonant-stem	Masc	Gen.Dual	4	1000+	6	rAjYoH	rājñoḥ	match
70467	rājan	consonant-stem	Masc	Gen.Plur	374	1000+	6	rAjYAm	rājñām	match
70467	rājan	consonant-stem	Masc	Loc.Sing	163	1000+	6	rAjYi|rAjani	rājñi|rājani|rājan	variant
70467	rājan	consonant-stem	Masc	Loc.Plur	84	1000+	6	rAjasu	rājsu|rājasu	variant
70467	rājan	consonant-stem	Masc	Voc.Sing	4659	1000+	6	rAjan	rājñ|rājan	variant
70467	rājan	consonant-stem	Masc	Voc.Dual	10	1000+	6	rAjAnO	rājānā|rājānau	variant
70467	rājan	consonant-stem	Masc	Voc.Plur	5	1000+	6	rAjAnaH	rājānaḥ	match
213357	gam	consonant-stem	Masc	Abl.Sing	5	1000+	7	gmaH	gamaḥ|gmaḥ	variant
213357	gam	consonant-stem	Masc	Gen.Sing	5	1000+	7	gmaH	gmaḥ|gamaḥ	variant
213357	gam	consonant-stem	Masc	Gen.Plur	1	1000+	7	gamAm	gamām	match
57973	ādi	i-stem	Masc	Nom.Sing	1130	1000+	10	AdiH	ādi|ādiḥ	variant
57973	ādi	i-stem	Masc	Nom.Dual	10	1000+	10	AdI	ādī	match
57973	ādi	i-stem	Masc	Nom.Plur	1872	1000+	10	AdayaH	ādayaḥ|ādīni	variant
57973	ādi	i-stem	Masc	Acc.Sing	514	1000+	10	Adim	ādi|ādim	variant
57973	ādi	i-stem	Masc	Acc.Plur	785	1000+	10	AdIn	ādīn|ādīni|ādīḥ	variant
57973	ādi	i-stem	Masc	Ins.Sing	265	1000+	10	AdinA	ādinā	match
57973	ādi	i-stem	Masc	Ins.Dual	2	1000+	10	AdiByAm	ādibhyām|ādībhyām	variant
57973	ādi	i-stem	Masc	Ins.Plur	1184	1000+	10	AdiBiH	ādibhiḥ	match
57973	ādi	i-stem	Masc	Dat.Sing	3	1000+	10	Adaye	ādaye	match
57973	ādi	i-stem	Masc	Dat.Plur	22	1000+	10	AdiByaH	ādibhyaḥ	match
57973	ādi	i-stem	Masc	Abl.Sing	112	1000+	10	AdeH	ādeḥ|āditaḥ	variant
57973	ādi	i-stem	Masc	Abl.Dual	1	1000+	10	AdiByAm	ādibhyām	match
57973	ādi	i-stem	Masc	Abl.Plur	228	1000+	10	AdiByaH	ādibhyaḥ	match
57973	ādi	i-stem	Masc	Gen.Sing	368	1000+	10	AdeH	ādeḥ|ādyāḥ|ādinas	variant
57973	ādi	i-stem	Masc	Gen.Dual	2	1000+	10	AdyoH	ādyoḥ	match
57973	ādi	i-stem	Masc	Gen.Plur	1115	1000+	10	AdInAm	ādīnām	match
57973	ādi	i-stem	Masc	Loc.Sing	1090	1000+	10	AdO	ādau|ādini	variant
57973	ādi	i-stem	Masc	Loc.Dual	2	1000+	10	AdyoH	ādyoḥ	match
57973	ādi	i-stem	Masc	Loc.Plur	826	1000+	10	Adizu	ādiṣu	match
57973	ādi	i-stem	Masc	Voc.Sing	2	1000+	10	Ade	āde	match
53136	artha	a-stem	Masc	Nom.Sing	2669	1000+	11	arTaH	arthaḥ|artham|arthā	variant
53136	artha	a-stem	Masc	Nom.Dual	40	1000+	11	arTO	arthau|arthe	variant
53136	artha	a-stem	Masc	Nom.Plur	364	1000+	11	arTAH	arthāḥ|arthāni	variant
53136	artha	a-stem	Masc	Acc.Sing	4893	1000+	11	arTam	artham|arthām	variant
53136	artha	a-stem	Masc	Acc.Dual	39	1000+	11	arTO	arthau	match
53136	artha	a-stem	Masc	Acc.Plur	274	1000+	11	arTAn	arthān|arthāni|arthāḥ	variant
53136	artha	a-stem	Masc	Ins.Sing	157	1000+	11	arTena	arthena|arthayā	variant
53136	artha	a-stem	Masc	Ins.Dual	4	1000+	11	arTAByAm	arthābhyām	match
53136	artha	a-stem	Masc	Ins.Plur	111	1000+	11	arTEH	arthaiḥ|arthābhiḥ	variant
53136	artha	a-stem	Masc	Dat.Sing	357	1000+	11	arTAya	arthāya|arthāyai	variant
53136	artha	a-stem	Masc	Dat.Plur	2	1000+	11	arTeByaH	arthebhyaḥ	match
53136	artha	a-stem	Masc	Abl.Sing	140	1000+	11	arTAd|arTAt	arthāt|arthataḥ	variant
53136	artha	a-stem	Masc	Abl.Dual	4	1000+	11	arTAByAm	arthābhyām	match
53136	artha	a-stem	Masc	Abl.Plur	30	1000+	11	arTeByaH	arthebhyaḥ	match
53136	artha	a-stem	Masc	Gen.Sing	168	1000+	11	arTasya	arthasya	match
53136	artha	a-stem	Masc	Gen.Dual	28	1000+	11	arTayoH	arthayoḥ	match
53136	artha	a-stem	Masc	Gen.Plur	113	1000+	11	arTAnAm	arthānām	match
53136	artha	a-stem	Masc	Loc.Sing	1277	1000+	11	arTe	arthe|arthāyām	variant
53136	artha	a-stem	Masc	Loc.Dual	5	1000+	11	arTayoH	arthayoḥ	match
53136	artha	a-stem	Masc	Loc.Plur	155	1000+	11	arTezu	artheṣu	match
53136	artha	a-stem	Masc	Voc.Sing	7	1000+	11	arTa	arthaiḥ|arthe	mismatch
91970	dharma	a-stem	Masc	Nom.Sing	1970	1000+	12	DarmaH	dharmaḥ|dharmam|dharmā	variant
91970	dharma	a-stem	Masc	Nom.Dual	14	1000+	12	DarmO	dharmau|dharmā	variant
