L_id	k1	hom	verdict	mw_realcite	corpus_hit	also_in_pw_same_source	pwg_text_sibling	n_kosa	present_in	novel_kosa	pwg_cited_sources
5	a	5	text-attested	1	bhs|gra	1	1	3	vcp|skd|mw|bhs|gra|ap90|ap|pw|abch	abch|skd|vcp	MED|TRIK
10	aMSaka	2	kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	AK|TRIK
12	aMSakaraRa		dict-lexical	0		1	0	0	mw|pw		ŚKDR
13	aMSay		pwg-unique	0		1	0	0	pw		ŚKDR
14	aMSala		kosa-corroborated	0		0	0	1	vcp|mw|ap90|ap	vcp	AK|ŚKDR
15	aMSasavarRa		pwg-unique	0		0	0	0			COLEBR
22	aMSuDara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
24	aMSupati		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H
26	aMSumatPalA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	skd|vcp	AK
30	aMSumAlin		kosa-corroborated	0		1	0	3	armh|vcp|mw|ap|pw|nmmb	armh|nmmb|vcp	H|TRIK
31	aMSula		text-attested	1		1	0	1	vcp|mw|ap90|ap|pw	vcp	TRIK
32	aMSuhasta		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H|JAṬĀDH|ŚKDR
33	aMsa	1	text-attested	0	gra	1	1	4	armh|vcp|skd|mw|gra|pw|abch	armh|vcp	AK|H|ŚKDR
35	aMsakUwa		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H
50	aMhati	2	text-attested	1	gra	1	1	4	armh|vcp|mw|gra|pw|abch|nmmb	armh|nmmb|vcp	AK|H|MED|WILS
51	aMhatI		kosa-corroborated	0		0	0	1	skd|mw|ap		AK|ŚKDR
54	aMhiti		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	AK|ŚKDR
61	aMhri		text-attested	1		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	AK|H
62	aMhripa		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H
63	aMhriskanDa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
