k1	verdict	independent_hits	in_mw	kosa_hits	in_pw_same_source
A	text-independent	ap90|ap|gra	1	skd	1
ABAsana	mw-only		1		1
ABAsura	text-independent	ap90|ap	1		1
ABAsvara	text-independent	ap90|ap|bhs	1		1
ABAti	mw-only		1		1
ABIkzRa	mw-only		1		1
ABIraka	mw-only		1		1
ABIrapallI	text-independent	ap	1	skd	1
ABIrapalli	mw-only		1		1
ABIrapallikA	pwg-unique				1
ABIrika	mw-only		1		1
ABara	mw-only		1		1
ABaradvasava	mw-only		1		1
ABerI	text-independent	ap90|ap	1	skd	1
ABiDA	text-independent	ap90|ap	1	skd	
ABimuKya	mw-only		1		1
ABirUpya	text-independent	bhs	1		1
ABrAja	mw-only		1		1
AByavakASika	text-independent	ap90|ap|bhs	1		1
ADAnapadDati	mw-only		1		1
ADAnika	mw-only		1		1
ADArADeyaBAva	mw-only		1		1
ADAra	text-independent	bhs	1		1
ADAracakra	mw-only		1		1
ADArakArikA	mw-only		1		1
ADAratA	mw-only		1		1
ADArmika	pwg-unique				1
ADAtar	pwg-unique				1
ADiBOtika	text-independent	ap90|ap	1		1
ADidEvika	text-independent	ap90|ap	1		1
ADijYa	text-independent	ap	1		1
ADimanyu	mw-only		1		1
ADunika	text-independent	ap90|ap	1		1
ADvara	mw-only		1		1
ADvaryava	text-independent	ap90|ap|gra	1		1
ADyA	text-independent	ap90|ap	1	skd	1
ADyApaka	mw-only		1		1
ADyAyika	text-independent	ap90|ap	1		1
AGAtana	text-independent	bhs	1		1
AGAwa	mw-only		1		1
AGamarzaRa	mw-only		1		1
AGarzaRa	mw-only		1		1
AGawwaka	text-independent	ap90|ap	1		1
AGrAta	text-independent	ap90|ap	1		1
AKAta	pwg-unique				1
AKAwISvaratIrTa	mw-only		1		1
AKewaSIrzaka	mw-only		1		1
AKewika	text-independent	ap90|ap	1		1
AKowa	mw-only		1		1
AKowakatIrTa	mw-only		1		1
AKuBuj	text-independent	ap	1		1
AKuga	mw-only		1		1
AKukarRI	text-independent	ap	1	skd	1
AKupAzARa	mw-only		1		1
AKuparRikA	text-independent	ap	1	skd	1
AKuraTa	mw-only		1		1
AKuvizahA	text-independent	ap	1	skd	1
AKyAnaka	mw-only		1		1
AKyApaka	mw-only		1		1
AKyAtavAda	pwg-unique				1
AKyAtaviveka	pwg-unique				1
ANgAraka	pwg-unique				1
ANgArika	mw-only		1		1
ANgika	text-independent	ap	1		1
ANgiraseSvaratIrTa	mw-only		1		1
ANgulika	mw-only		1		1
APUka	pwg-unique				1
AQyaroga	mw-only		1		1
ASAQa	mw-only		1		
ASAdaSamI	pwg-unique				1
ASAditya	mw-only		1		1
ASAparA	mw-only		1		1
ASApurI	pwg-unique				1
ASApura	mw-only		1		1
ASI	text-independent	ap90|ap	1	skd	1
ASIrvAda	mw-only		1		1
ASIrvacana	mw-only		1		1
ASIrviza	mw-only		1		1
ASOcin	text-independent	ap	1		1
ASaMsitar	pwg-unique				1
ASana	text-independent	ap90|ap	1		1
ASara	mw-only		1		1
ASayASa	mw-only		1		1
ASaya	text-independent	ap90|ap|bhs	1		1
AScaryaratnamAlA	mw-only		1		1
AScotana	text-independent	ap90|ap	1		1
AScyotana	text-independent	ap90|ap	1		1
ASekuwin	text-independent	ap90|ap	1		1
ASira	text-independent	ap90|ap	1		1
ASis	text-independent	ap90|ap|gra	1		1
ASita	text-independent	ap90|ap|gra	1		1
ASitar	pwg-unique				
ASramopanizad	text-independent	ap	1		1
ASrava	text-independent	ap90|ap|bhs	1		1
ASrayaliNga	mw-only		1		1
ASri	text-independent	ap90|ap	1		1
ASrita	text-independent	ap90|ap|bhs	1		1
ASuBArgava	pwg-unique				
ASuPala	mw-only		1		
ASuboDa	text-independent	ap	1		1
ASupatrI	text-independent	ap		skd	
ASuraTIya	mw-only		1		1
ASuvrIhi	mw-only		1		1
ASva	text-independent	ap90|ap	1		1
ASvalAyana	mw-only		1		1
ASvinacihnita	mw-only		1		1
ATarvaRIya	pwg-unique				
ATarvaRarahasya	mw-only		1		1
ATarvaRika	text-independent	ap	1		1
AYjaneya	mw-only		1		1
AYjineya	mw-only		1		1
AbADa	text-independent	gra	1		1
AbadDa	text-independent	ap90|ap	1		1
AbanDana	mw-only		1		1
Abutta	text-independent	ap90|ap	1		1
AcAmanaka	mw-only		1		1
AcArANga	mw-only		1		1
AcArAdarSa	mw-only		1		1
AcArArka	mw-only		1		1
AcArAtikrama	pwg-unique				1
AcArI	text-independent	ap90|ap	1	skd	
AcAra	mw-only		1		1
AcAracakrin	text-independent	ap	1		1
AcAracandrikA	text-independent	ap	1		1
AcAracintAmaRi	pwg-unique				
AcAradIpa	mw-only		1		1
AcAramADavIya	pwg-unique				1
AcAramayUKa	mw-only		1		1
AcArapradIpa	pwg-unique				1
AcAratantra	mw-only		1		1
AcAravedI	text-independent	ap	1		1
AcArollAsa	mw-only		1		1
AcAryacUqAmaRi	pwg-unique				1
AcAryadeSIya	text-independent	ap	1		1
AcAryakArikA	pwg-unique				1
AcCAka	pwg-unique				
AcCodana	mw-only		1		1
AcCuka	mw-only		1		1
AcCuritaka	mw-only		1		1
Acakzus	text-independent	ap90|ap	1		1
AcamanIyaka	mw-only		1		1
Acamanaka	mw-only		1		1
AcaraRIya	text-independent	ap90|ap	1		1
Acidoha	pwg-unique				1
AcitIna	text-independent	ap	1		1
Acyutanti	mw-only		1		1
AdAnI	text-independent	ap	1	skd	1
AdArasft	pwg-unique				1
AdIDaka	pwg-unique				
AdISvara	mw-only		1		1
AdInava	text-independent	bhs	1		1
AdamaKAna	pwg-unique				1
Adana	text-independent	ap			
Adara	text-independent	ap90|ap	1		1
AdaraRIya	text-independent	ap90|ap	1		1
AdeSana	mw-only		1		1
AdeSin	text-independent	ap90|ap	1		1
Adezwar	pwg-unique				1
AdibudDa	text-independent	ap	1		1
AdigadADara	mw-only		1		1
AdigranTa	mw-only		1		1
AdikAraRa	mw-only		1		1
AdikeSava	mw-only		1		1
Adima	text-independent	ap90|ap	1		1
AdimalabAra	pwg-unique				
AdinATa	mw-only		1		1
AdipurARa	mw-only		1		1
AdisUra	mw-only		1		1
Adisarga	mw-only		1		1
Adisfzwi	pwg-unique				1
AditAla	mw-only		1		1
Aditva	mw-only		1		1
AdityAcArya	mw-only		1		1
AdityaBaktA	text-independent	ap	1	skd	1
AdityaSayana	mw-only		1		1
AdityadAsa	mw-only		1		1
Adityadeva	mw-only		1		1
AdityagarBa	text-independent	bhs	1		1
AdityamaRqala	mw-only		1		1
AdityanaktaviDivrata	pwg-unique				1
Adityapatra	pwg-unique				
AdityapratApasidDAnta	pwg-unique				1
AdityapurARa	mw-only		1		1
AdityapuzpikA	text-independent	ap	1	skd	1
AdityasUkta	mw-only		1		1
AdityasUnu	mw-only		1		1
AdityatIrTa	mw-only		1		1
AdityavAra	mw-only		1		1
AdityeSvaratIrTa	pwg-unique				1
AdivArAha	mw-only		1		1
AdivArAhatIrTa	mw-only		1		1
AdivAtulatantra	pwg-unique				1
AdivarAha	mw-only		1		1
AdivipulA	text-independent	ap	1		1
AdiyAmala	mw-only		1		1
Adrava	mw-only		1		1
AdyUna	text-independent	ap90|ap	1		1
Adya	text-independent	ap90|ap	1		1
AdyagaNgA	mw-only		1		1
Adyakavi	mw-only		1		1
AdyamAzaka	mw-only		1		1
AdyavIja	pwg-unique				
Adyota	mw-only		1		1
AgADa	text-independent	ap90|ap	1		1
AgAmika	text-independent	ap90|ap|bhs	1		1
AgAntu	mw-only		1		1
Aga	text-independent	ap90|ap	1		1
AgamAvartA	text-independent	ap			
Agamakalpadruma	mw-only		1		1
AgamasAra	pwg-unique				1
Agantuja	text-independent	ap	1		1
Agarin	mw-only		1		1
Agastya	text-independent	ap90|ap	1		1
AgneyAstra	mw-only		1		1
AgniSarmAyaRa	mw-only		1		1
Agnika	text-independent	ap90|ap	1		1
AgrAvasavIya	pwg-unique				1
AgrahArika	text-independent	ap90|ap	1		1
AhArasaMBava	mw-only		1		1
AhAray	pwg-unique				1
AhArika	text-independent	bhs	1		1
AhInika	pwg-unique				1
AhIraRin	text-independent	ap90|ap			
Aha	text-independent	ap90|ap|bhs	1	skd	1
Ahaka	mw-only		1		1
Ahata	text-independent	ap90|ap	1		1
AhatalakzaRa	text-independent	ap	1		1
AhicCattrika	mw-only		1		1
Ahika	mw-only		1		1
AhitTa	pwg-unique				1
AhitalakzaRa	text-independent	ap	1		1
AhituRqika	mw-only		1		1
AhlAda	mw-only		1		1
AhnikapradIpa	text-independent	ap	1		1
Ahnikaprayoga	mw-only		1		1
AhopuruzikA	text-independent	ap	1	skd	1
Ahuka	mw-only		1		1
Ahulya	mw-only		1		1
Ahuta	text-independent	ap90|ap	1		1
AhvAraka	mw-only		1		1
AjIgarta	mw-only		1		1
AjIja	pwg-unique				
AjIva	text-independent	bhs	1		1
AjIvaka	text-independent	bhs	1		1
AjIvin	text-independent	ap90|ap	1		1
AjUma	pwg-unique				
AjYAcakra	mw-only		1		1
AjYAta	mw-only		1		
AjakAra	mw-only		1		1
AjanmasuraBipatra	pwg-unique				
Ajasrika	mw-only		1		1
Ajiga	mw-only		1		1
Ajur	text-independent	ap90|ap	1		1
AjyaBAsa	pwg-unique				
Ajyadoha	mw-only		1		1
Ajyahoma	mw-only		1		1
AjyavAri	mw-only		1		1
AkASacamasa	mw-only		1		1
AkASadIpa	mw-only		1		1
AkASagarBa	text-independent	bhs	1		1
AkASajananin	text-independent	ap			1
AkASakakzA	text-independent	ap	1		1
AkASamAMsI	text-independent	ap	1	skd	1
AkASamUlI	text-independent	ap	1	skd	1
AkASapoli	mw-only		1		1
AkASarakzin	text-independent	ap	1		1
AkASasPawika	mw-only		1		1
AkASasalila	mw-only		1		1
AkASavARI	text-independent	ap	1	skd	1
AkASavAdArTa	pwg-unique				1
AkASavallI	text-independent	ap	1	skd	1
AkASeSa	mw-only		1		1
AkASopanyAsa	mw-only		1		1
AkAra	text-independent	bhs	1		1
AkOSala	mw-only		1		1
AkUvAra	mw-only		1		1
Akalana	text-independent	bhs	1		1
Akalpaka	mw-only		1		1
Akalya	mw-only		1		1
AkaraRa	pwg-unique				1
AkarzakrIqA	mw-only		1		1
Akarzin	text-independent	ap90|ap	1		1
AkfticCatrA	text-independent	ap		skd	
Akfzwi	mw-only		1		1
Akrama	mw-only		1		1
AkroSa	mw-only		1		1
AkroSaka	text-independent	ap90	1		1
AkroSana	text-independent	bhs	1		1
AkroSin	mw-only		1		1
AkulAgamatantra	pwg-unique				1
