catalog_id,fidelity,books,script,text
C0001,modified,buhler+knauer,deva,अग्नीषोमावष्टाभिरृग्भिरृषिरस्तौदिन्द्रावरुणौ च तिसृभिः
C0002,orthographic,buhler+knauer,deva,अतिथिं पृच्छतु रात्रौ कुत्र न्यवस इति
C0003,orthographic,buhler+knauer,deva,अद्भिः पादौ क्षालयत्येष परिव्राट्
C0004,orthographic,buhler+knauer,deva,अधुना त्वष्टादश शतानि चत्वारि च शकानां राज्ञो वर्षाणि गतानि
C0005,identical,buhler+knauer,deva,अन्येषां काव्यैरेष कविः कीर्तिमसाधयत्
C0006,identical,buhler+knauer,deva,अरयो जनानां धनं लुम्पन्ति
C0007,identical,buhler+kochergina,deva,अरयो जनानां वसूनि हरन्ति
C0008,orthographic,buhler+kochergina,deva,अश्वा अश्राम्यन्भूमावपतंश्च
C0009,identical,buhler+knauer+kochergina,deva,अश्वेन जलं पीयते
C0010,orthographic,buhler+knauer,deva,अस्मद्यशांसि दिक्षु प्रतनुयुरिति मत्वा भूयसीं श्रियं भूभुजः कविभ्यो विभजन्ति
C0011,identical,buhler+knauer,deva,अहनी एव क्षत्रियावयुध्येताम्
C0012,identical,buhler+knauer,deva,आचार्याः शिष्यान्धर्मं प्रब्रुवते
C0013,identical,buhler+kochergina,deva,आपदि सुहृदो ऽस्मान्पालयेयुः
C0014,identical,buhler+knauer,deva,आभिरद्भिः पाणी प्रक्षालय
C0015,identical,buhler+knauer,deva,इषुभी रणे ऽरयो नृपतिना जीयन्ते
C0016,modified,buhler+kochergina,deva,ई ईक्ष्
C0017,identical,buhler+knauer,deva,ऋषिः सूक्तानि पश्यति
C0018,identical,buhler+kochergina,deva,ऋषिरधुना पाणिना जलमाचामति
C0019,identical,buhler+kochergina,deva,कन्याभ्यां गीतं गीयते
C0020,identical,buhler+kochergina,deva,कवयो हरिं शंसन्ति
C0021,identical,buhler+knauer,deva,कविभिर्नृपाः सदा स्तूयन्ते
C0022,identical,buhler+knauer,deva,कस्यै देव्यै स्तोत्रं रचयेम
C0023,identical,buhler+knauer,deva,कानि शास्त्राणि काश्यां त्वमध्यैथाः
C0024,identical,buhler+kochergina,deva,कालिदासस्य काव्यं मां श्रावयेः
C0025,identical,buhler+kochergina,deva,काश्चित्सरितः समुद्रेण काश्चिदन्याभिः सरिद्भिः संगच्छन्ते
C0026,identical,buhler+knauer,deva,काश्या आजग्मुषो भ्रातॄनपश्याम
C0027,identical,buhler+knauer,deva,कुप्यते मा कुप्यत
C0028,identical,buhler+knauer+kochergina,deva,क्षत्रिया युद्धे ऽरीन्मारयन्ति
C0029,identical,buhler+knauer,deva,क्षेत्रेषु सिक्ताभिर्मेघानामद्भिर्धान्यं प्ररूढम्
C0030,identical,buhler+knauer,deva,गुरुषु पिताचार्यो माता च गरीयांसः
C0031,identical,buhler+knauer,deva,गोः क्षीरेण शिशवो मोदन्ताम्
C0032,identical,buhler+knauer,deva,ग्रामण्यां स्तेनाः शरानमुञ्चन्
C0033,orthographic,buhler+kochergina,deva,ग्राममद्य गच्छेतमिति मातरौ पुत्रावभाषेताम्
C0034,identical,buhler+knauer,deva,घटौ घृतेन पूर्येते
C0035,identical,buhler+kochergina,deva,चतुर्णां वेदानां तु बहवः शाखा वर्तन्ते
C0036,identical,buhler+kochergina,deva,चत्वारो वेदा विद्यन्ते ऽष्टादश पुराणानि षट्त्रिंशत्स्मृतयः षड् दर्शनानीति विदुषां मतम्
C0037,identical,buhler+kochergina,deva,जनैर्नगरं गम्यते
C0038,identical,buhler+kochergina,deva,जलं गिरेः पतति
C0039,identical,buhler+knauer,deva,जलेनाग्निः शाम्यति
C0040,identical,buhler+knauer,deva,जामातरः श्वशुरान्स्नुषाः श्वश्रूर्दुहितरश्च पुत्राश्च पितरौ सेवेरन्
C0041,identical,buhler+knauer,deva,जीवतः पुत्रस्य मुखं पश्यन्तौ पितरौ तुष्यतः
C0042,identical,buhler+knauer,deva,जुह्वां घृतं तिष्ठति
C0043,identical,buhler+knauer,deva,जुह्वाग्नौ घृतं प्रास्यानि
C0044,identical,buhler+kochergina,deva,तद्यथा ऋग्वेदस्य पञ्च शाखा यजुर्वेदस्य षडशीतिः सामवेदस्य सप्ताथर्ववेदस्य नवेति सर्वाः संकलय्य सप्तोत्तरं शतं शाखानां श्रूयते
C0045,identical,buhler+knauer,deva,तीव्रं तपस्तप्तुं यतिर्वनाय प्रस्थितः
C0046,identical,buhler+knauer,deva,त्रयः कनीयांसो भ्रातरो रामस्याभवन्
C0047,modified,buhler+knauer,deva,त्रीणि लक्षाणि गवां षोडश ग्रामाश्चर्षभदत्तेन ब्राह्मणेभ्यो दत्तानि
C0048,identical,buhler+kochergina,deva,त्वं जीव शरदः शतम्
C0049,identical,buhler+kochergina,deva,दरिद्रान्भर कौन्तेय मा प्रयच्छेश्वरे धनम्
C0050,identical,buhler+kochergina,deva,दीर्घं पश्यत मा ह्रस्वं परं पश्यत मापरम्
C0051,identical,buhler+kochergina,deva,दुहितरं पितरौ रक्षेतां स्वसारं भ्रातरो मातॄः पुत्राश्च रक्षेयुः
C0052,identical,buhler+kochergina,deva,धर्मं चरत माधर्मं सत्यं वदत मानृतम्
