a_id	b_id	score	script	verdict	note	a_text	b_text
buhler-XXXI-693	knauer-8-161	0.99	deva	spelling_variant	'ा'->''	अधुना त्वष्टादश शतानि चत्वारि च शकानां राज्ञो वर्षाणि गतानि	अधुना त्वष्टादश शतानि चत्वारि च शकानां रज्ञो वर्षाणि गतानि
buhler-XVI-364	kochergina-XIX-456	0.987	deva	spelling_variant	'े'->''	ग्राममद्य गच्छेतमिति मातरौ पुत्रावभाषेताम्	ग्राममद्य गच्छतमिति मातरौ पुत्रावभाषेताम्
buhler-XXVII-597	knauer-9-185	0.986	deva	spelling_variant	'न्'->''	यानि कर्माण्यस्मिँल्लोके क्रियन्ते तेषां फलं कर्त्रामुष्मिँल्लोक उपभुज्यन्ते	यानि कर्माण्यस्मिँल्लोके क्रियन्ते तेषां फलं कर्त्रामुष्मिँल्लोक उपभुज्यते
buhler-XLII-987	knauer-12-280	0.979	deva	spelling_variant	'क'->'त'	यथा वातो बलेन वृक्षान्भनक्त्येवं त्वं मे द्विषो भङ्ग्धि	यथा वातो बलेन वृक्षान्भनत्त्येवं त्वं मे द्विषो भङ्ग्धि
buhler-XXX-647	knauer-19-415	0.977	deva	spelling_variant	'च्'->''	सर्वे पौराः कालिदासेन रचितं नाटकं द्रष्टुमागच्छन्	सर्वे पौराः कालिदासेन रचितं नाटकं द्रष्टुमागछन्
knauer-19-415	kochergina-XXIII-564	0.977	deva	spelling_variant	''->'च्'	सर्वे पौराः कालिदासेन रचितं नाटकं द्रष्टुमागछन्	सर्वे पौराः कालिदासेन रचितं नाटकं द्रष्टुमागच्छन्
buhler-XIV-333	knauer-3-58	0.974	deva	spelling_variant	'ः'->''	वध्वाः स्निह्यत्यृषिः	वध्वा स्निह्यत्यृषिः
buhler-XIV-331	knauer-10-214	0.968	deva	spelling_variant	'च्'->''	अतिथिं पृच्छतु रात्रौ कुत्र न्यवस इति	अतिथिं पृछतु रात्रौ कुत्र न्यवस इति
buhler-XII-300	kochergina-X-155	0.962	deva	spelling_variant	'ं'->'ँ'	अश्वा अश्राम्यन्भूमावपतंश्च	अश्वा अश्राम्यन्भूमावपतँश्च
buhler-XV-348	knauer-4-80	0.958	deva	spelling_variant	'ाम्'->'े'	मुक्तय ईश्वरः सृष्टेः कर्ता मनुष्यैर्भक्त्या सेव्यताम्	मुक्तय ईश्वरः सृष्टेः कर्ता मनुष्यैर्भक्त्या सेव्यते
buhler-XXI-465	kochergina-XIV-300	0.958	deva	spelling_variant	'तु'->'य'	व्याधितस्यौषधं पथ्यं नीरुजस्तु किमौषधैः	व्याधितस्यौषधं पथ्यं नीरुजस्य किमौषधैः
knauer-17-380	kochergina-XXXIV-1163	0.958	iast	spelling_variant	'ç'->'ś'	gāraḥ çītaḥ kṛṣṇāyate karam	gāraḥ śītaḥ kṛṣṇāyate karam
