idx	run	chapter	cluster	type	severity	triage	rule	status
0	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
1	gasuns2026-17-glava2-06	glava2	Д3	unsupported_semantization	minor	SOFTEN	R4	already_addressed
2	gasuns2026-17-glava2-06	glava2	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
3	gasuns2026-17-glava2-06	glava2	Д5	commentary_function_gap	major	SKIP	R2	not_applicable
4	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
5	gasuns2026-17-glava2-06	glava2	Д5	missing_commentary_layer	major	SKIP	R2	not_applicable
6	gasuns2026-17-glava2-06	glava2	Д4	missing_sutra_reference	minor	SKIP	R3	human_judgment
7	gasuns2026-17-glava2-06	glava2	Д5	missing_commentary_layer	minor	SKIP	R2	not_applicable
8	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
9	gasuns2026-17-glava2-06	glava2	Д3	unsupported_sanskrit_etymology	minor	SOFTEN	R4	already_addressed
10	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
11	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
12	gasuns2026-17-glava2-06	glava2	Д2	logical_gap	major	APPLY	R4	already_addressed
13	gasuns2026-17-glava2-06	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
14	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
15	gasuns2026-17-glava2-06	glava2	Д3	weak_genre_framing	moderate	SOFTEN	R4	already_addressed
16	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
17	gasuns2026-17-glava2-06	glava2	Д4	unattributed_commentary	major	SKIP	R3	human_judgment
18	gasuns2026-17-glava2-06	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
19	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
20	gasuns2026-17-glava2-06	glava2	Д3	insufficient_evidence	major	SOFTEN	R4	already_addressed
21	gasuns2026-17-glava2-06	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
22	gasuns2026-17-glava2-06	glava2	Д2	logical_gap	minor	APPLY	R4	already_addressed
23	gasuns2026-21-glava3-04	glava3	Д5	missing_context_of_hymn	minor	SKIP	R2	not_applicable
24	gasuns2026-21-glava3-04	glava3	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
25	gasuns2026-21-glava3-04	glava3	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
26	gasuns2026-21-glava3-04	glava3	Д3	unsupported_sanskrit_etymology	minor	SOFTEN	R6	safe_apply
27	gasuns2026-21-glava3-04	glava3	Д3	unsupported_semantization	major	SOFTEN	R6	safe_apply
28	gasuns2026-21-glava3-04	glava3	Д3	unsupported_semantization	major	SOFTEN	R6	safe_apply
29	gasuns2026-21-glava3-04	glava3	Д3	weak_parallel	minor	SOFTEN	R6	safe_apply
30	gasuns2026-21-glava3-04	glava3	Д4	missing_source	major	SKIP	R3	human_judgment
31	gasuns2026-21-glava3-04	glava3	Д5	historical_continuity	minor	SKIP	R2	not_applicable
32	gasuns2026-03-vvedenie-03	vvedenie	Д5	missing_context_of_hymn	major	SKIP	R2	not_applicable
33	gasuns2026-03-vvedenie-03	vvedenie	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
34	gasuns2026-03-vvedenie-03	vvedenie	Д3	unsupported_semantization	major	SOFTEN	R5	human_judgment
35	gasuns2026-03-vvedenie-03	vvedenie	Д5	unsupported_sanskit_etymology	major	SKIP	R2	not_applicable
36	gasuns2026-03-vvedenie-03	vvedenie	Д3	unsupported_reading	major	SOFTEN	R5	human_judgment
37	gasuns2026-03-vvedenie-03	vvedenie	Д3	unsupported_reading	minor	SOFTEN	R5	human_judgment
38	gasuns2026-03-vvedenie-03	vvedenie	Д4	missing_source	major	SKIP	R3	human_judgment
39	gasuns2026-17-glava2-06	glava2	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
40	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
41	gasuns2026-17-glava2-06	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
42	gasuns2026-17-glava2-06	glava2	Д5	arbitrary_sound_change	major	SKIP	R2	not_applicable
43	gasuns2026-17-glava2-06	glava2	Д3	weak_parallel	minor	SOFTEN	R4	already_addressed
44	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
45	gasuns2026-17-glava2-06	glava2	Д2	logical_gap	major	APPLY	R4	already_addressed
46	gasuns2026-17-glava2-06	glava2	Д3	insufficient_evidence	minor	SOFTEN	R4	already_addressed
47	gasuns2026-25-zakl-01	zakl	Д4	missing_source	minor	SKIP	R3	human_judgment
48	gasuns2026-25-zakl-01	zakl	Д5	commentary_function_gap	minor	SKIP	R2	not_applicable
49	gasuns2026-25-zakl-01	zakl	Д1	mistranslated_native_term	major	APPLY	R5	human_judgment
50	gasuns2026-25-zakl-01	zakl	Д4	missing_sutra_reference	major	SKIP	R3	human_judgment
51	gasuns2026-25-zakl-01	zakl	Д3	unsupported_semantization	major	SOFTEN	R5	human_judgment
52	gasuns2026-25-zakl-01	zakl	Д3	unsupported_reading	minor	SOFTEN	R5	human_judgment
53	gasuns2026-25-zakl-01	zakl	Д3	evidentiary_base	major	SOFTEN	R5	human_judgment
54	gasuns2026-03-vvedenie-03	vvedenie	Д3	unsupported_semantization	major	SOFTEN	R5	human_judgment
55	gasuns2026-03-vvedenie-03	vvedenie	Д1	missing_iast_on_first_mention	minor	APPLY	R5	human_judgment
56	gasuns2026-03-vvedenie-03	vvedenie	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
57	gasuns2026-03-vvedenie-03	vvedenie	Д1	missing_iast_on_first_mention	major	APPLY	R5	human_judgment
58	gasuns2026-03-vvedenie-03	vvedenie	Д5	missing_apparatus	major	SKIP	R2	not_applicable
59	gasuns2026-03-vvedenie-03	vvedenie	Д2	logical_gap	major	APPLY	R5	human_judgment
60	gasuns2026-03-vvedenie-03	vvedenie	Д2	inconsistency	minor	APPLY	R5	human_judgment
61	gasuns2026-25-zakl-01	zakl	Д3	unsupported_semantization	minor	SOFTEN	R5	human_judgment
62	gasuns2026-25-zakl-01	zakl	Д3	weak_genre_framing	minor	SOFTEN	R5	human_judgment
63	gasuns2026-25-zakl-01	zakl	Д3	unsupported_semantization	major	SOFTEN	R5	human_judgment
64	gasuns2026-25-zakl-01	zakl	Д1	missing_iast_on_first_mention	minor	APPLY	R5	human_judgment
65	gasuns2026-25-zakl-01	zakl	Д3	weak_parallel	major	SOFTEN	R5	human_judgment
66	gasuns2026-25-zakl-01	zakl	Д5	missing_alternative_interpretation	major	SKIP	R2	not_applicable
