mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
181234	laḍ	laq	root	0	1P,10P	7	4212	1	laq,145	1
181246	laṇḍ	laRq	root	0	10P	0		0		1
181338	lap	lap	genuineroot	1	1P	26	2499	7	lap,145	1
181359	labh	laB	genuineroot	1	1Ā	3345	35	6	laB,145	1
181467	lam	lam	root	0	0	0		0	lam,146	
181488	lamb	lamb	genuineroot	1	1Ā	130	1041	4	lamb,146	1
181580	lamb	lamb	root	0	1Ā	130	1041	4		1
181581	lambh	lamB	root	0	1Ā	0		2		1
181583	lay	lay	root	0	1Ā	0		0		1
181585	lard	lard	root	0	10P	0		0		
181586	larb	larb	root	0	1P	0		0		1
181587	lal	lal	genuineroot	1	1P,1Ā	101	1215	5	lal,146	1
181980	laś	laS	root	0	10P	0		0		1
181985	laṣ	laz	genuineroot	1	1,4P,4Ā,10P	0		5	laz,146	1
181992	las	las	genuineroot	1	1P,10	59	1680	4	las,147	1
182048	lahalahāya	lahalahAya	root	0		0		0		
182054	lā	lA	genuineroot	1	2P	0		2	lA,147	1
182095	lākh	lAK	root	0	1P	0		0		1
182098	lāgh	lAG	root	0	1Ā	0		2		1
182174	lāj	lAj	root	0	1P	0		0		1
182184	lāñch	lAYC	genuineroot	1	1P	0		1	lAYC,147	1
182191	lāñj	lAYj	root	0	1P	0		0		1
182220	lāḍ	lAq	root	0	10P	0		0		1
182248	lābh	lAB	root	0	10P	0		1		1
182337	likh	liK	genuineroot	1	6P,6Ā	509	328	8	liK,147	1
182475	liṅkh	liNK	root	0	1P	0		0		1
182476	liṅg	liNg	root	0	1P,10P	0		1		1
182615	lip	lip	genuineroot	1	6,1P,1Ā	778	214	6	lip,147	1
182704	liś	liS	genuineroot	1	4Ā,6P	7	4213	3	liS,148	1
182726	lih	lih	genuineroot	1	2P,2Ā	405	426	6	lih,148	1
182753	lī	lI	genuineroot	1	9P,1P,4Ā,4P	268	603	6	lI1,148	1
182888	luñc	luYc	genuineroot	1	1P	11	3535	2	luYc,149	1
182900	luñj	luYj	root	0	0	0		0		
182901	luṭ	luw	root	0	1Ā,10P	0		2		1
182902	luṭ	luw	genuineroot	1	1,4P,1Ā,10P	0		2		1
182907	luṭh	luW	genuineroot	1	1P,1Ā,10P	26	2500	3	luW2,149	1
182908	luṭh	luW	genuineroot	1	6P	26	2500	3	luW1,149	1
182922	luḍ	luq	genuineroot	1	1P,6P	1	8818	3	luq,149	1
182926	luṇṭ	luRw	genuineroot	1	1P,10P	0		2		1
182935	luṇṭh	luRW	root	0	0	0		2		1
182948	luṇḍ	luRq	root	0		0		0		
182955	lunth	lunT	root	0	1P	0		0		1
182956	lup	lup	genuineroot	1	6P,6Ā,4P,4Ā	117	1122	3	lup,149	1
183010	lubh	luB	genuineroot	1	6P,4P	325	508	6	luB,150	1
183054	lumb	lumb	root	0	1P,10P	0		0		1
183058	lul	lul	genuineroot	1	1P,1Ā	42	2016	1	lul,150	1
183120	luṣ	luz	root	0	1P	0		0		1
183124	luh	luh	root	0	1P	0		0		1
183125	lū	lU	genuineroot	1	9P,9Ā	81	1396	7	lU,150	1
183181	lūṣ	lUz	root	0	1P,10P	0		0		1
183198	lep	lep	root	0	1Ā	0		0		1
183225	laiṇ	lER	root	0	1P	0		0		1
183229	lok	lok	genuineroot	1	1Ā,10	0		5	lok,150	1
183561	loc	loc	genuineroot	1	1Ā,10P	0		4	loc,151	1
183604	loṭ	low	root	0	1P	0		0		1
183612	loḍ	loq	root	0	0	0		0		
183747	loṣṭ	lozw	root	0	1Ā	0		1		1
184086	lauḍ	lOq	root	0	1P	0		0		1
184149	lpī	lpI	root	0	9P	0		0		1
184152	lvī	lvI	root	0	9P	0		0		1
184344	vaṃh	vaMh	root	0		0		1		
184348	vak	vak	root	0	1Ā	0		1	vaYc,152	1
184508	vakk	vakk	root	0	1Ā	0		0		1
184521	vakṣ	vakz	genuineroot	1	1P	45	1963	1	vakz,151	1
184556	vakh	vaK	root	0	1P	0		0		1
184576	vaṅkh	vaNK	root	0	1P	0		0		1
184580	vaṅg	vaNg	root	0	1P	0		0		1
184613	vaṅgh	vaNG	root	0	1Ā	0		0		1
184615	vac	vac	genuineroot	1	2P,3P,3Ā	33948	4	7	vac,151	1
184793	vaj	vaj	root	0	1P,10P	0		1	vaj,152	1
185127	vañc	vaYc	genuineroot	1	1P,1Ā	24	2601	4	vaYc,152	1
185175	vaṭ	vaw	root	0	1P,10P	0		1		1
185252	vaṭṭ	vaww	root	0	1P	0		0		
185255	vaṭh	vaW	root	0	1P	0		0		1
185298	vaḍḍh	vaqQ	root	0	1P	0		0		
185300	vaṇ	vaR	root	0	1P	0		1		1
185343	vaṇṭ	vaRw	genuineroot	1	1,10P	1	10588	1	vaRw,152	1
185356	vaṇṭh	vaRW	root	0	1Ā	0		0		1
185370	vaṇḍ	vaRq	root	0	1Ā,10P	0		0		1
185375	vat	vat	root	0		4	5519	2		
185521	vad	vad	genuineroot	1	1P,1Ā	3914	31	6	vad,152	1
185579	vadh	vaD	genuineroot	1		1236	121	2	vaD,153	1
185710	van	van	genuineroot	1	1P,8P,8Ā	220	714	5	van,153	1
186179	vand	vand	genuineroot	1	1Ā	632	258	4	vand,153	1
186277	vap	vap	genuineroot	1	1P,1Ā	320	520	8	vap2,154	
186291	vap	vap	genuineroot	1	1P,1Ā	320	520	8	vap1,154	1
186415	vabhr	vaBr	root	0	1P	0		0		1
186417	vam	vam	genuineroot	1	1P	223	703	5	vam,154	1
186460	vay	vay	root	0	1Ā,1P	0		0		1
187248	varc	varc	root	0	1Ā	0		0		1
187289	varṇ	varR	genuineroot	1	10P	0		5		1
187679	vardh	varD	genuineroot	1	10P	0		3		1
187798	varph	varP	root	0	1P	0		0		
188073	varh	varh	root	0	0	0		1		
188075	val	val	genuineroot	1	1Ā,1P	54	1770	6	val,155	1
188173	valk	valk	root	0	10P	0		1		1
188205	valg	valg	genuineroot	1	1P,1Ā	42	2030	4	valg,155	1
188244	valbh	valB	root	0	1Ā	0		1		1
188271	vall	vall	root	0	1P	0		1		1
188380	valh	valh	root	0	1Ā,10P	0		2	valh,155	1
188380.1	balh	balh	root	0	1Ā,10P	0		0		
188394	vaś	vaS	genuineroot	1	2P,1,3	302	548	6	vaS,155	1
188545	vaṣ	vaz	root	0	1P	0		0		1
188557	vaṣk	vazk	root	0	1Ā	0		0		1
188560	vas	vas	genuineroot	1	6P	2538	49	6	vas1,155	
188997	vas	vas	genuineroot	1	10P	2538	49	6		1
188998	vas	vas	genuineroot	1	2Ā	2538	49	6	vas2,156	1
189096	vas	vas	genuineroot	1	1P,10P	2538	49	6	vas3,156	1
189186	vas	vas	root	0	4P	2538	49	6		1
189201	vask	vask	root	0	1Ā	0		1		1
189206	vast	vast	root	0	10Ā	0		1		1
189238	vah	vah	genuineroot	1	1P,1Ā	1845	75	7	vah,157	1
189436	vā	vA	genuineroot	1	2P	298	554	6	vA1,157	1
189801	vāṅkṣ	vANkz	root	0	1P	0		0		1
190461	vāñch	vAYC	genuineroot	1	1P	180	836	2	vAYC,158	1
190529	vāḍ	vAq	root	0	0	0		0		
190607	vāt	vAt	root	0	10P	0		2		1
190802	vādh	vAD	root	0	0	0		1		
191295	vāyuputrāya	vAyuputrAya	root	0		0		0		
192244	vāvṛt	vAvft	root	0	4Ā	0		0		1
192249	vāś	vAS	genuineroot	1	4Ā	73	1496	3	vAS,158	1
192285	vās	vAs	genuineroot	1	10P	0		4		1
192697	vāh	vAh	genuineroot	1	1Ā	1845	75	2	vAh,158	1
194682	vic	vic	genuineroot	1	7P,7Ā,3	8	4090	4	vic1,158	1
194915	vicchāy	vicCAy	root	0		0		0		
194955	vich	viC	root	0	10P	0		3		1
194956	vij	vij	genuineroot	1	6Ā,1P,3P,3Ā	27	2483	4	vij,159	1
195337	viṭ	viw	root	0	1P	0		1		1
195395	viḍ	viq	root	0	1P	0		0		1
195444	viṇṭ	viRw	root	0	10P	0		0		1
195602	vitt	vitt	root	0	10P	0		1		1
195619	vith	viT	root	0	1Ā	0		0		1
195619.1	veth	veT	root	0	1Ā	0		0		
195626	vid	vid	genuineroot	1	2P	11314	8	5	vid1,159	1
195939	vid	vid	genuineroot	1	6P,6Ā	11314	8	5	vid2,159	1
196016	vid	vid	root	0	7Ā	11314	8	5		1
196453	vidh	viD	root	0	6P	209	741	4	viD1,160	
196455	vidh	viD	root	0	6Ā	209	741	4		
196473	vidh	viD	root	0	1Ā	209	741	4		
197327	vind	vind	root	0	0P	0		1		
197339	vindh	vinD	root	0	0Ā	0		0	vinD,160	
197416	vip	vip	genuineroot	1	1Ā	156	913	3	vip,160	1
199553	vil	vil	root	0	6P,10P	0		0		1
200376	viś	viS	genuineroot	1	6P,6Ā	1053	160	5	viS,160	1
201614	viṣ	viz	genuineroot	1	3P,1P,3	29	2397	4	viz,161	1
201878	viṣ	viz	genuineroot	1	9P	29	2397	4		1
202269	viṣk	vizk	root	0	10P	0		0		1
202319	viṣṭ	vizw	root	0		2	7550	1		
202690	vis	vis	root	0	0	0		1		
203329	vī	vI	genuineroot	1	2P,2Ā	770	220	3	vI1,161	1
203453	vīj	vIj	genuineroot	1	1P,1Ā,10	5	5068	3	vIj,162	1
203469	vīḍ	vIq	genuineroot	1	0P,0Ā	0		0	vIq,162	
203556	vīps	vIps	root	0	0P	0		0		
203561	vībh	vIB	root	0	0	0		0		
203564	vīr	vIr	root	0	10Ā,10P	0		2		1
203969	vuṅg	vuNg	root	0	0	0		0		
203972	vuṇṭ	vuRw	root	0	10P	0		0		1
203973	vundh	vunD	root	0	0	0		0		
203978	vṛ	vf	genuineroot	1	5,9,1P,1Ā	2083	65	3	vf1,162	1
204040	vṛ	vf	genuineroot	1	5,9P,9Ā	2083	65	3	vf2,163	1
204094	vṛṃh	vfMh	root	0	0	0		1		
204095	vṛk	vfk	root	0	1Ā	0		1		1
204178	vṛkṣ	vfkz	root	0	1Ā	0		2		1
204309	vṛj	vfj	genuineroot	1	1,7P,2Ā	283	574	2	vfj,163	1
204339	vṛṇ	vfR	root	0	8P,8Ā,6P	0		1		1
204340	vṛt	vft	genuineroot	1	1Ā	2479	50	6	vft,164	1
204573	vṛdh	vfD	genuineroot	1	1Ā,1P,10	1619	89	5	vfD,164	1
204827	vṛś	vfS	root	0	4P	0		2		1
204858	vṛṣ	vfz	genuineroot	1	1P,1Ā	580	280	7	vfz,165	1
205267	vṛh	vfh	root	0	0	54	1774	1		
205270	vṝ	vF	root	0	0	0		1		1
205271	ve	ve	genuineroot	1	1P,1Ā	0		3	vA2,157	1
205298	vekṣ	vekz	root	0	10P	0		0		1
205421	veṭy	vewy	root	0	1P	0		0		
205425	veṇ	veR	root	0	0	0		0		1
206155	vedy	vedy	root	0		0		0		
206156	vedh	veD	root	0	1Ā	0		0		
206222	ven	ven	genuineroot	1	1P	19	2880	2	ven,165	1
206235	vep	vep	root	0	0	0		3	vip,160	
206262	vel	vel	root	0	1P	0		0		1
206270	vel	vel	root	0	10P	0		0		1
206315	vell	vell	genuineroot	1	1P	11	3611	5	vell,166	1
206348	vevī	vevI	root	0	2Ā	0		1		1
206478	veṣṭ	vezw	genuineroot	1	1Ā	43	2000	4	vizw,161	1
206532	ves	ves	root	0	1P	0		0		1
206538	veh	veh	root	0	1Ā,1P	0		0		1
206538.1	beh	beh	root	0	1Ā,1P	0		0		
206543	vehl	vehl	root	0	1P	0		0		1
206544	vai	vE	genuineroot	1	1P,1Ā	0		2		1
208354	vyac	vyac	genuineroot	1	6P,3	20	2821	2	vyac,166	1
208364	vyaj	vyaj	root	0		0		1		
208633	vyath	vyaT	genuineroot	1	1Ā	397	436	4	vyaT,166	1
208671	vyadh	vyaD	genuineroot	1	4P,4Ā	1636	88	4	vyaD,166	1
208713	vyap	vyap	root	0	10P	0		0		1
208870	vyay	vyay	root	0	1P,1Ā,10P	0		1	vyay,167	1
208913	vyay	vyay	root	0	10P	0		1		1
210272	vyuṣ	vyuz	root	0	4P,10P	0		0		1
210345	vye	vye	genuineroot	1	1P,1Ā	0		2	vyA,167	1
210432	vraj	vraj	genuineroot	1	1P,10P	1202	128	5	vraj,167	1
210509	vraṇ	vraR	root	0	1P	0		1	vran,167	1
210510	vraṇ	vraR	root	0	1P,10P	0		1		1
210707	vrad	vrad	root	0	0Ā	1	10796	0	vrad,167	
210711	vraśc	vraSc	genuineroot	1	6P	145	968	4	vraSc,168	1
210761	vrādh	vrAD	root	0	0	10	3752	0	vrAD,168	
210763	vrī	vrI	root	0	9P,4Ā	0		3		1
210765	vrīḍ	vrIq	genuineroot	1	1Ā,4P,10P	84	1365	2	vrIq,168	1
210779	vrīs	vrIs	root	0	0	0		0		
210816	vruḍ	vruq	root	0	6P	0		0	vruq,168	1
210819	vrūs	vrUs	root	0	1,10P	0		0		1
210821	vlag	vlag	root	0		0		0		
210822	vlī	vlI	genuineroot	1	9P	18	2952	3	vlI,168	1
210826	vlekṣ	vlekz	root	0	0	0		0		
210841	śaṃs	SaMs	genuineroot	1	1P,1Ā	1785	79	4	SaMs,169	1
210897	śak	Sak	genuineroot	1	5P	1952	71	3	Sak,169	1
211312	śakaśakāya	SakaSakAya	root	0	0P	0		0		
211426	śaṅk	SaNk	genuineroot	1	1Ā,1P	273	595	3	SaNk,170	1
211703	śac	Sac	root	0	1Ā	0		2		1
211725	śañc	SaYc	root	0	1Ā	0		0		
211726	śaṭ	Saw	root	0	1P,10Ā	0		4		1
211737	śaṭh	SaW	root	0	10Ā	0		2		1
211738	śaṭh	SaW	root	0	10P	0		2		1
211739	śaṭh	SaW	root	0	10P	0		2		1
211740	śaṭh	SaW	genuineroot	1	1P,10P	0		2		1
211769	śaṇ	SaR	root	0	1,10P	0		1		1
211801	śaṇḍ	SaRq	root	0	1Ā	0		0		1
212483	śad	Sad	genuineroot	1	1,6Ā,6P	19	2890	5	Sad1,170;Sad2,170	1
212543	śap	Sap	genuineroot	1	1,4P,4Ā	484	345	4	Sap,170	1
212651	śabd	Sabd	genuineroot	1	10P	0		4		
212911	śam	Sam	genuineroot	1	4P,9	1159	138	5	Sam1,171;Sam2,171;Sam3,171	1
213262	śamb	Samb	root	0	1P,10P	0		1		1
213806	śaraśarāya	SaraSarAya	root	0		0		0		
214005	śarb	Sarb	root	0	1P	0		0		1
214041	śarv	Sarv	root	0	1P	0		1		1
214062	śal	Sal	root	0	1Ā,1P,10Ā	0		2	Sal,171	1
214236	śalbh	SalB	root	0	1Ā	0		0		1
214243	śav	Sav	root	0	1P	0		1		1
214294	śaś	SaS	root	0	1P	0		2	SaS,171	1
214505	śaṣ	Saz	root	0	1P	0		0		1
214531	śas	Sas	genuineroot	1	1P	2	7662	3	Sas,172	1
214945	śākh	SAK	root	0	1P	0		0		1
215105	śāḍ	SAq	root	0	1Ā	0		0		1
215256	śān	SAn	root	0	0Ā	0		0		1
215471	śāntv	SAntv	root	0	0	0		1		
215656	śār	SAr	root	0	0	0		0		1
215926	śāl	SAl	genuineroot	1	1Ā,1,10Ā	0		2		1
216290	śās	SAs	genuineroot	1	2P	533	313	5	SAs1,172	1
216481	śi	Si	genuineroot	1	3P,5P,5Ā	0		1	SA,172	1
216517	śikṣ	Sikz	genuineroot	1	1P,1Ā	345	484	2		1
216813	śiṅkh	SiNK	root	0	1P	0		0		1
216828	śiṅgh	SiNG	root	0	1P	0		2	SiNG,173	1
216845	śiñj	SiYj	genuineroot	1	2Ā,1,10Ā	12	3490	2	SiYj,173	1
216864	śiṭ	Siw	root	0	1P	0		0		1
217043	śim	Sim	root	0	4P	9	3920	0		
217055	śimiśimāya	SimiSimAya	root	0		0		0		
217236	śiriśirā	SiriSirA	root	0	0P	0		0		
217237	śiriśirāya	SiriSirAya	root	0	0Ā	0		0		
217253	śil	Sil	root	0	6P	0		0		1
217253.1	sil	sil	root	0	6P	0		0		
218103	śiṣ	Siz	root	0	1P	194	787	4		1
218104	śiṣ	Siz	genuineroot	1	7P,10	194	787	4	Siz,173	1
218170	śī	SI	genuineroot	1	2Ā,1	1116	146	7	SI2,174	1
218176	śī	SI	root	0	4Ā	1116	146	7	SI1,173	
218177	śīk	SIk	genuineroot	1	1Ā,10	0		1		1
218191	śīkāya	SIkAya	root	0	0P,0Ā	0		0		
218537	śībh	SIB	root	0	1Ā	0		0		1
218655	śīl	SIl	genuineroot	1	1P,10P	0		2		1
218725	śīlaya	SIlaya	root	0		0		1		
218744	śu	Su	root	0	1P	0		1		
218748	śuk	Suk	root	0	1P	0		2		1
219184	śuc	Suc	genuineroot	1	1P,4P,4Ā	777	216	4	Suc,174	1
219306	śuc	Suc	root	0	4P,4Ā	777	216	4	Suc,174	1
219307	śucy	Sucy	root	0	1P	0		0		1
219308	śuj	Suj	root	0	0	2	7674	0	Suj,174	
219313	śuṭh	SuW	root	0	1P,10P	0		0		1
219320	śuṇṭh	SuRW	root	0	1P,10P	0		0		1
219331	śuṇḍ	SuRq	root	0	1P	0		0		1
219366	śudh	SuD	genuineroot	1	1P,1Ā,4P,4Ā	2410	53	4	SuD,174	1
219556	śun	Sun	root	0	6P	0		0		1
219610	śundh	SunD	root	0	0	0		1		
219616	śubh	SuB	genuineroot	1	1Ā,6P,6Ā	547	302	5	SuB,175	1
219846	śumbh	SumB	root	0	1P	0		1		
219860	śulk	Sulk	root	0	10P	0		2		1
219883	śulb	Sulb	root	0	10P	0		2		1
219943	śuṣ	Suz	genuineroot	1	4P	166	873	4	Suz1,175	1
220027	śuṣ	Suz	genuineroot	1	6P	166	873	4		
220057	śū	SU	root	0		0		3		
220262	śūr	SUr	root	0	4Ā,10Ā	0		1		1
220341	śūrp	SUrp	root	0	10P	0		2		1
220376	śūl	SUl	root	0	1P,1Ā,4P,4Ā	0		1		1
220491	śūṣ	SUz	root	0	1P	0		1		1
220772	śṛdh	SfD	genuineroot	1	1P,1Ā	23	2660	1	SfD,176	1
220783	śṝ	SF	genuineroot	1	9P,9Ā	0		4	Sf1,176	1
220836	śel	Sel	root	0	1P	0		0		1
220840	śev	Sev	root	0	1Ā	0		0		1
220965	śai	SE	root	0	0	0		0		
221333	śo	So	genuineroot	1	3P,3Ā,4P,4Ā	0		2		1
221433	śoṇ	SoR	root	0	1P	0		2		1
221763	śauṭ	SOw	root	0	1P	0		0		1
221773	śauḍ	SOq	root	0	0	0		0		
221941	ścand	Scand	root	0		0		0		
221943	ścam	Scam	root	0		1	11056	0		
221944	ścar	Scar	root	0	0	0		1		
221945	ścut	Scut	genuineroot	1	1P	13	3371	2	Scut,177	1
221952	ścyut	Scyut	root	0	0	0		3		
221953	śnath	SnaT	genuineroot	1	1P	21	2765	3	SnaT,177	1
222029	śmīl	SmIl	root	0	1P	0		0		1
222309	śyai	SyE	genuineroot	1	1P,1Ā	0		2	SyA,177	1
222318	śraṅk	SraNk	root	0	1Ā	0		0		1
222319	śraṅg	SraNg	root	0	1P	0		0		1
222320	śraṇ	SraR	root	0	1P,10P	0		2	Sran,178	1
222382	śrath	SraT	genuineroot	1	9P,9Ā	16	3092	2	SraT,177	1
222390	śrathāya	SraTAya	root	0	0	0		0		
222401	śram	Sram	genuineroot	1	4P	382	450	5	Sram,178	1
222476	śrambh	SramB	root	0	1Ā	0		2	SramB,178	1
222686	śrā	SrA	genuineroot	1	1,4P,2P	0		3	SrA,178	1
222815	śrām	SrAm	root	0	0	0		0		
222829	śri	Sri	genuineroot	1	1P,1Ā	451	381	7	Sri,179	1
222855	śriṣ	Sriz	root	0	1P	2	7673	1		1
222857	śrī	SrI	genuineroot	1	9P,9Ā	644	253	4	SrI1,179	1
223391	śrīv	SrIv	root	0		0		0		
223393	śru	Sru	genuineroot	1	5P,5Ā	10505	9	6	Sru,179	1
223678	śruṣ	Sruz	root	0		6	4684	0		
223689	śrek	Srek	root	0		0		0		
223800	śrai	SrE	root	0	0	0		0		
223801	śroṇ	SroR	root	0	1P	0		0		1
223992	ślaṅk	SlaNk	root	0	1Ā	0		0		1
223993	ślaṅg	SlaNg	root	0	1P	0		0		1
223994	ślath	SlaT	genuineroot	1	1P	2	7668	2	SraT,177	1
224010	ślākh	SlAK	root	0	1P	0		0		1
224011	ślāgh	SlAG	genuineroot	1	1Ā	186	813	2	SlAG,180	1
224041	śliṣ	Sliz	root	0	1P	92	1291	4		1
224043	śliṣ	Sliz	genuineroot	1	4P,4Ā	92	1291	4	Sliz,180	1
224150	ślok	Slok	root	0	1Ā	0		3		1
224184	śloṇ	SloR	root	0	1P	0		0		1
224188	śvaṅk	SvaNk	root	0	1Ā	0		0		1
224189	śvaṅg	SvaNg	root	0	1P	0		0		1
224190	śvac	Svac	root	0	1Ā	0		0	SvaYc,181	1
224191	śvaj	Svaj	root	0	1Ā	0		0		1
224192	śvaṭh	SvaW	root	0	10P	0		0		1
224193	śvaṭh	SvaW	root	0	10P	0		0		1
224344	śvabhr	SvaBr	root	0	10P	0		1		1
224357	śvart	Svart	root	0	0	0		0		1
224358	śval	Sval	root	0	1P	0		1		1
224359	śvalk	Svalk	root	0	10P	0		0		1
224360	śvall	Svall	root	0	0	0		0		
224373	śvas	Svas	genuineroot	1	2P	154	922	4	Svas,181	1
224466	śvātr	SvAtr	root	0	1P	0		0		
224480	śvi	Svi	genuineroot	1	1P	0		4	SU,175	1
224494	śvit	Svit	root	0	1Ā	6	4686	2	Svit,181	1
224875	śvind	Svind	root	0	1	0		0		1
224899	ṣag	zag	root	0	0	0		0		
224899.1	ṣagh	zaG	root	0	0	0		0		
224899.2	ṣac	zac	root	0	0	0		0		
224902	ṣaṭṭ	zaww	root	0	10P	0		0		
224917	ṣaṇḍaya	zaRqaya	root	0		0		0		
224924	ṣaṇḍīya	zaRqIya	root	0		0		0		
225508	ṣaṣk	zazk	root	0	1P	0		0		
225553	ṣukk	zukk	root	0	1Ā	0		0		1
225563	ṣṭhiv	zWiv	genuineroot	1	1,4P	0		4	zWIv,181	1
225581	ṣvakk	zvakk	root	0	1Ā	0		0		
225582	ṣvaṣk	zvazk	root	0	1P,1Ā	0		1		1
227100	saṃst	saMst	root	0	0	0		0		
227845	sakṣ	sakz	root	0	1P	0		0	sakz,182	
227851	sakh	saK	root	0		0		0		
227853	sag	sag	root	0	1	0		0		1
227922	sagh	saG	root	0	5P	13	3331	1	saG,182	1
228852	sac	sac	genuineroot	1	1Ā,1P	323	516	2	sac,182	1
228908	sac	sac	root	0	0	323	516	2		
229022	sajj	sajj	root	0	1P	0		0		1
229049	sajjīya	sajjIya	root	0	0Ā	0		0		
229058	sañc	saYc	root	0	0	0		0		
229217	sañj	saYj	root	0	1P	0		3		1
229218	sañj	saYj	genuineroot	1	1P,1Ā	0		3	saj,182	1
229447	saṭ	saw	root	0	1P,10	0		0		1
229463	saṭṭ	saww	root	0	10P	0		0		1
229472	saṭh	saW	root	0	10P	0		0		1
230482	satr	satr	root	0	10Ā	0		0		1
230505	sad	sad	genuineroot	1	1,6P	953	176	6	sad,183	1
231023	san	san	genuineroot	1	1P,8P,8Ā	196	777	4	san,183	1
232210	sap	sap	genuineroot	1	1P,1Ā	23	2640	2	sap,184	1
232980	sabhāj	saBAj	root	0	10P	0		2		1
232986	sam	sam	root	0	1P,10P	0		2		1
233271	samaya	samaya	root	0	0P	0		1		
236744	samb	samb	root	0	0	0		0		
236788	sambarya	sambarya	root	0		0		0		
237404	say	say	root	0	1Ā	0		0		1
237906	sarj	sarj	root	0	1P	3	6086	3	sarj,184	
237907	sarj	sarj	root	0	1P	3	6086	3		1
238104	sarb	sarb	root	0	1P	0		0		1
238106	sarv	sarv	root	0	0	0		0		
239282	sal	sal	root	0	1P	0		1		1
239781	saśc	saSc	root	0	0	0		1		
239787	sas	sas	genuineroot	1	2P	23	2641	0	sas,184	1
239967	sah	sah	genuineroot	1	1Ā,10	791	210	5	sah,184	1
240101	sah	sah	root	0	4P	791	210	5		1
240851	sā	sA	root	0		75	1463	4		
241011	sākṣ	sAkz	root	0	1P	0		0		
241357	sāṭ	sAw	root	0	10P	0		0		
241374	sāt	sAt	root	0		0		1		
241500	sādh	sAD	genuineroot	1	1P,1Ā,4,5	86	1349	4	sAD,185	1
241986	sāntv	sAntv	genuineroot	1	10P,10Ā	0		2		1
242187	sām	sAm	root	0		0		0		
242233	sāmaya	sAmaya	root	0	10P	0		0		1
242607	sāmb	sAmb	root	0	0	0		2		
243722	si	si	genuineroot	1	5,9P,9Ā	13	3348	3	sA1,185	1
244005	sik	sik	root	0		0		0		
244032	sic	sic	genuineroot	1	6P,6Ā	687	239	8	sic,186	1
244057	siṭ	siw	root	0	1P	0		0		1
244297	sidh	siD	root	0	1P	2028	69	4		1
244298	sidh	siD	genuineroot	1	1P	2028	69	4	siD1,186	1
244301	sidh	siD	genuineroot	1	4P	2028	69	4	siD2,186	1
244920	sinv	sinv	root	0		0		0		
244933	sibh	siB	root	0	0	0		0		
244938	simasimāya	simasimAya	root	0	0Ā	0		0		
244939	simisimāya	simisimAya	root	0	0Ā	0		0		
244996	siv	siv	genuineroot	1	4P	0		5	sIv,187	1
245038	sī	sI	root	0	0	0		1		
245095	sīk	sIk	root	0	0	0		0		
245236	su	su	root	0	1P,1Ā	878	188	5		1
245237	su	su	root	0	1,2P	878	188	5	sU,188	1
245241	su	su	genuineroot	1	5P,5Ā	878	188	5		1
245287	su	su	root	0	0	878	188	5		
245610	sukh	suK	root	0	10,4P	0		2		1
246351	suṭṭ	suww	root	0	10P	0		0		1
247217	sund	sund	root	0		0		0		
248170	subh	suB	root	0	9,6P,1	3	6140	0	suB,188	1
248502	sumbh	sumB	root	0	0	0		0		
249254	sur	sur	root	0	6P,10P	0		1		1
250630	suh	suh	genuineroot	1	4P	0		0		1
250729	sū	sU	genuineroot	1	6P,6Ā	532	314	5	sU,188	1
250739	sū	sU	genuineroot	1	2Ā	532	314	5	sU,188	1
250993	sūc	sUc	root	0	10P	0		4		1
251184	sūtr	sUtr	root	0	10P	0		2		1
251301	sūd	sUd	genuineroot	1	1Ā,10	13	3350	7	sUd,188	1
251816	sūrkṣ	sUrkz	root	0	1P	13	3351	2	sUrkz,189	1
251832	sūṣ	sUz	root	0	1P	0		0		1
251838	sṛ	sf	genuineroot	1	1,3P,3Ā,10P,10Ā	204	754	4	sf,189	1
251924	sṛj	sfj	genuineroot	1	6P,6Ā	2749	43	5	sfj,189	1
252007	sṛdh	sfD	root	0	0	0		0		
252008	sṛp	sfp	genuineroot	1	1P	192	792	3	sfp,190	1
252034	sṛbh	sfB	root	0	1P	0		0		1
252038	sṝ	sF	root	0	9P	0		1		1
252041	se	se	root	0	0Ā	0		0		
252045	sek	sek	root	0	1Ā	0		1		1
252253	sel	sel	root	0	0	0		0		
252262	sev	sev	genuineroot	1	1Ā	1328	113	4	sev,190	1
252381	sai	sE	root	0	1P	0		0		1
252524	so	so	genuineroot	1	4P	0		3		1
254077	skand	skand	genuineroot	1	1P,1Ā	247	635	5	skand,190	1
254159	skandh	skanD	root	0	10P	0		0		
254241	skambh	skamB	genuineroot	1	5,9P,1Ā	20	2804	4	skamB,191	1
254257	sku	sku	genuineroot	1	5,9P,9Ā	1	10200	3	sku,191	1
254259	skund	skund	root	0	1Ā	0		1		1
254260	skumbh	skumB	root	0	5,9P	0		1		1
254267	skhad	sKad	root	0	1Ā	0		1		1
254272	skhal	sKal	genuineroot	1	1P	118	1116	4	sKal,191	1
254305	skhuḍ	sKuq	root	0		0		0		
254306	stak	stak	root	0	1P	0		0		1
254307	stan	stan	genuineroot	1	1P	20	2805	5	stan,191	1
254431	stam	stam	root	0	0	0		0		
254463	stambh	stamB	genuineroot	1	5,9P,1Ā	291	562	4	stamB,192	1
254590	stigh	stiG	genuineroot	1	5P,5Ā	0		1	stiG,192	1
254591	stip	stip	root	0	1Ā	0		0		1
