idx	file	yadisk_path	kind	size_bytes	pages	granularity	ocr_state	claims_target	harvest_readiness	cataloged
1	Grammaire-Sanscrite-Louis-Renou Index.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-scan	2352535	11	word->sec Renou GS 1930	scanned-no-text-layer (vision OCR needed)	future Renou-GS registry (none yet)	blocked-on-OCR	2026-09-13
2	Grammaire-de-la-Langue-Vedique-de-Louis-Renou Index.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-text	3820465	24	word->sec Renou Vedique 1952	text-layer OK (5-pg sample)	future Renou-Vedique registry; DCS Vedic probes	ready-after-book-harvest	2026-09-13
3	Index from Oberlies-EpicSkr2003.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-text	2542263	25	word->page Oberlies EAS 2003	text-layer OK (5-pg sample)	future Epic-Sanskrit registry (none yet)	ready-after-book-harvest	2026-09-13
4	Verbs Oberlies-EpicSkr2003.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-text	13275515	126	root->page Oberlies EAS verbs	text-layer OK (thin per page)	same as idx 3	ready-after-book-harvest	2026-09-13
5	Hauschild-RegisterzurWackernagel1964.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-text	67053448	263	word->p-col Wackernagel AIG I	register; text-layer OK (5-pg sample; CFF subset font ClarendonIndologique, full pass unverified)	future Wackernagel-AIG registry; Vedic pool	verify-font-extraction-first	2026-09-13
6	Bucknell 359.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-text	26553	6	excerpt, 6 pp	text-layer OK (5-pg sample)	inspect-before-use; likely supplement	needs-identification	2026-09-13
7	Knauer.zip	yadisk:Sanskrityatina/Указатели указателей/	zip-html	37445157	-	knauer_dict.htm 829KB + Charis-SIL/Sahitya fonts	native HTML text	KnauerFrazy_1908/ (in-repo sibling)	ready	2026-09-13
8	MacDonell-Grammar1927 Index.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-scan	1518056	11	word->sec MacDonell SG 1927	scanned-no-text-layer (vision OCR needed)	future MacDonell-SG registry	blocked-on-OCR	2026-09-13
9	MacDonell-Vedic1916 Index.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-scan	1521153	20	word->sec MacDonell VG 1916	scanned-no-text-layer (vision OCR needed)	future MacDonell-Vedic registry	blocked-on-OCR	2026-09-13
10	Whitney-Grammatik1879 Sanskritregister.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-scan	1626811	14	word->sec Whitney 1879 German register	scanned-no-text-layer (vision OCR needed)	WhitneyGrammar_1889/claims.yml (15 rows; 1879-1889 edition pair)	blocked-on-OCR	2026-09-13
11	Wortregister from Thumb-Hand1904-ii.pdf	yadisk:Sanskrityatina/Указатели указателей/	pdf-scan	1305393	19	word register Thumb/Hand 1904	scanned-no-text-layer (vision OCR needed)	future Thumb registry	blocked-on-OCR	2026-09-13
12	Pages from Edgren-SansGrammar-1885.pdf	yadisk:Sanskrityatина/Указатели указателей/	pdf-text	198770	8	extracted pages Edgren 1885	text-layer OK (5-pg sample)	future Edgren registry	ready-after-book-harvest	2026-09-13
13	Ukazatel_Uch_KOChERGINA.docx	yadisk:Sanskrityatina/Указатели указателей/	docx	238041	-	Kochergina textbook index (909 words)	native text	KocherginaUchebnik_1998/claims.yml (260 rows)	ready	2026-09-13
14	Ukazatel_Uch_KOChERGINA_Byuler.docx	yadisk:Sanskrityatina/Указатели указателей/	docx	110761	-	Kochergina-Buhler cross index (1353 words)	native text	KocherginaUchebnik_1998 (260) + BuhlerLeitfaden_1923/claims.yml (403) — bridge file	ready	2026-09-13
15	Ukazatel_k_Kocherginoy_Olga.xlsx	yadisk:Sanskrityatina/Указатели указателей/	xlsx	18392	-	index table (415 shared strings)	native text	KocherginaUchebnik_1998/claims.yml (260 rows)	ready	2026-09-13
16	Указатель к «Учебнику санскрита».docx	yadisk:Sanskrityatina/Указатели указателей/	docx	24715	-	index to Uchebnik (425 words)	native text	textbook registry (identify edition on harvest)	needs-identification	2026-09-13
17	index.doc + index.pdf	yadisk:Sanskrityatina/Указатели указателей/	doc+pdf	1413873	-	unnamed generic pair	unknown (not downloaded)	triage-before-use	not-cataloged-content	2026-09-13
18	Kossovich_21.04.2020.zip	yadisk:Sanskrityatina/Указатели указателей/	zip	132755148	-	Kossovich materials (dupes 30_Kossowich/ sibling)	unknown (not downloaded)	out of scope	see 30_Kossowich/	2026-09-13
19	Порядок слов/	yadisk:Sanskrityatina/Указатели указателей/	folder	~300000000	-	word-order literature (Delbrueck, Staal, Gillon, Wackernagel-Syntax 1950, Renou 1952)	n/a	syntax papers, not indexes; separate pool	out-of-scope	2026-09-13
D1	МхБхКомм01-10+.txt	yadisk:Sanskrityatina/Index/Data/	txt	~3100000	-	Mahabharata vols I-X Russian translation/commentary, UTF-8	UTF-8 text (verified 01-04)	corpus companion, not claims-audit	out-of-scope-for-claims	2026-09-13
D2	fasmer-dr-ind.htm	yadisk:Sanskrityatina/Index/Data/	htm	2266262	-	Fasmer etymological dictionary HTML	native HTML text	corpus companion (RU etymology)	out-of-scope-for-claims	2026-09-13
