anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
whitney-root	whitney-root:106	kf	subject:grammar-lab:ablaut-grades	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:235-243		subject:grammar-lab:ablaut-grades	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:table-1		subject:grammar-lab:ablaut-grades	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:three-grade-alternation		subject:grammar-lab:ablaut-grades	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:50		subject:grammar-lab:ablaut-grades	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:three-grade		subject:grammar-lab:ablaut-grades	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:427	nI	subject:grammar-lab:alternation-series	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:235-243		subject:grammar-lab:alternation-series	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:table-1		subject:grammar-lab:alternation-series	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:table-2		subject:grammar-lab:alternation-series	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:60		subject:grammar-lab:alternation-series	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:three-grade		subject:grammar-lab:alternation-series	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:106	kf	subject:grammar-lab:aorist-systems	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:824-827		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
whitney-sec	whitney-sec:878-897		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:morphological-positions		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:139		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:144		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:verb-overview		subject:grammar-lab:aorist-systems	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:815	Sru	subject:grammar-lab:attested-vs-predicted	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:98-100		subject:grammar-lab:attested-vs-predicted	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:inventory-scope		subject:grammar-lab:attested-vs-predicted	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:109		subject:grammar-lab:attested-vs-predicted	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:morphonology		subject:grammar-lab:attested-vs-predicted	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:106	kf	subject:grammar-lab:causative-grade	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:1041-1052		subject:grammar-lab:causative-grade	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:morphological-positions		subject:grammar-lab:causative-grade	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:167		subject:grammar-lab:causative-grade	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:verb-overview		subject:grammar-lab:causative-grade	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:528	BU	subject:grammar-lab:future-sya	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:931-940		subject:grammar-lab:future-sya	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:morphological-positions		subject:grammar-lab:future-sya	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:157		subject:grammar-lab:future-sya	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:set-anit		subject:grammar-lab:future-sya	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:106	kf	subject:grammar-lab:infinitive-tum	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:968		subject:grammar-lab:infinitive-tum	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
zalizniak-1975	zalizniak-1975:morphological-positions		subject:grammar-lab:infinitive-tum	thematic	SanskritGrammar/ZalizniakMorphology_1975	curated	0.97		13-08-2026
zalizniak-1978-sec	zalizniak-1978-sec:164		subject:grammar-lab:infinitive-tum	thematic	SanskritGrammar/ZalizniakOcherk_1978	curated	0.97		13-08-2026
zalizniak-2004	zalizniak-2004:set-anit		subject:grammar-lab:infinitive-tum	thematic	SanskritGrammar/ZalizniakKonspekt_2004	curated	0.97		13-08-2026
whitney-root	whitney-root:106	kf	subject:grammar-lab:morphological-positions	thematic	WhitneyRoots/crosswalk/roots.csv	curated	0.97		13-08-2026
whitney-sec	whitney-sec:931-940		subject:grammar-lab:morphological-positions	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
whitney-sec	whitney-sec:952-956		subject:grammar-lab:morphological-positions	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
whitney-sec	whitney-sec:968		subject:grammar-lab:morphological-positions	thematic	SanskritGrammar/WhitneyGrammar_1889	curated	0.97		13-08-2026
